Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,4.900637,4.985959,4.876641,4.924634,3.066186,7437306
2015-06-11,4.963295,5.020620,4.915302,4.999290,3.112668,16134041
2015-06-12,4.991291,5.009955,4.952630,4.956629,3.086105,6210132
2015-06-15,4.952630,4.957963,4.912636,4.921968,3.064526,4424128
2015-06-16,4.925967,5.011288,4.912636,5.009955,3.119308,8149157
2015-06-17,5.009955,5.057948,4.959296,5.051283,3.145040,5676056
2015-06-18,5.056615,5.165933,5.052616,5.128605,3.193183,7797357
2015-06-19,5.116607,5.128605,5.073946,5.085944,3.166621,9379332
2015-06-22,5.099276,5.133938,5.065947,5.072613,3.158320,12955839
2015-06-23,5.055282,5.063281,4.980626,4.983292,3.102708,7413303
2015-06-24,4.985959,5.019287,4.951297,4.956629,3.086105,5344509
2015-06-25,4.956629,4.991291,4.932633,4.949964,3.081957,4844938
2015-06-26,4.943298,4.996624,4.916635,4.972627,3.096067,15029884
2015-06-29,4.971294,5.008622,4.917968,4.923301,3.065356,8997527
2015-06-30,4.961962,4.980626,4.915302,4.923301,3.065356,8286427
2015-07-01,4.937965,5.041951,4.904637,5.039284,3.137570,9143048
2015-07-02,5.087278,5.144603,5.047283,5.069947,3.156661,7012746
2015-07-06,5.045950,5.121939,5.035285,5.109941,3.181562,9206057
2015-07-07,5.143270,5.212593,5.112607,5.209927,3.243816,9739383
2015-07-08,5.183264,5.205927,5.149935,5.152602,3.208124,8149157
2015-07-09,5.177931,5.227258,5.128605,5.149935,3.206463,7402801
2015-07-10,5.159267,5.215259,5.144603,5.168599,3.218084,6357153
2015-07-13,5.213926,5.248588,5.131271,5.153935,3.208955,6565682
2015-07-14,5.161934,5.195262,5.111274,5.187263,3.229704,3951561
2015-07-15,5.177931,5.213926,5.149935,5.209927,3.243816,6495922
2015-07-16,5.225925,5.293915,5.205927,5.253921,3.271208,6661696
2015-07-17,5.252587,5.272585,5.229924,5.259253,3.274528,7432055
2015-07-20,5.241922,5.297914,5.235257,5.291249,3.294449,5727063
2015-07-21,5.280583,5.337909,5.280583,5.308580,3.305239,11581644
2015-07-22,5.304580,5.348574,5.284583,5.331243,3.319350,7263281
2015-07-23,5.316578,5.347241,5.275251,5.304580,3.302749,10214200
2015-07-24,5.293915,5.359239,5.271251,5.333909,3.321009,9669623
2015-07-27,5.329910,5.389901,5.300581,5.331243,3.319350,13903974
2015-07-28,5.336576,5.344574,5.300581,5.320578,3.312709,19707548
2015-07-29,5.319245,5.320578,5.256587,5.283250,3.289468,13312890
2015-07-30,5.267252,5.289915,5.244589,5.255254,3.272037,10346969
2015-07-31,5.308580,5.348574,5.204594,5.209927,3.243816,15158902
2015-08-03,5.233923,5.256587,5.207261,5.256587,3.272867,7771853
2015-08-04,5.257920,5.305913,5.236590,5.248588,3.267886,7527319
2015-08-05,5.252587,5.255254,5.175265,5.200595,3.238006,9563858
2015-08-06,5.197929,5.223258,5.125939,5.217926,3.248796,7225776
2015-08-07,5.217926,5.247255,5.155268,5.243255,3.264566,6587435
2015-08-10,5.253921,5.264586,5.201928,5.228591,3.255436,7393800
2015-08-11,5.220592,5.328577,5.211260,5.323244,3.314369,11403119
2015-08-12,5.272585,5.331243,5.255254,5.329910,3.343641,12505776
2015-08-13,5.305913,5.329910,5.249921,5.280583,3.312696,11602647
2015-08-14,5.276584,5.312579,5.243255,5.311246,3.331932,5167484
2015-08-17,5.313912,5.353906,5.261919,5.352573,3.357858,4696417
2015-08-18,5.344574,5.380569,5.339242,5.377903,3.373749,3456491
