Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,64.820000,65.580002,64.730003,65.089996,39.333065,1966300
2015-06-11,65.370003,65.370003,64.290001,64.400002,38.916115,1253500
2015-06-12,64.010002,64.529999,63.830002,64.129997,38.752945,1432200
2015-06-15,63.410000,64.449997,63.180000,63.779999,38.541451,2752100
2015-06-16,63.820000,64.209999,63.400002,63.599998,38.432678,3977000
2015-06-17,64.379997,64.769997,63.599998,63.810001,38.559582,2919500
2015-06-18,64.169998,64.519997,62.169998,62.310001,37.653156,6746600
2015-06-19,61.830002,62.669998,61.330002,61.930000,37.423527,4032300
2015-06-22,62.590000,62.590000,61.240002,62.410000,37.713573,3288900
2015-06-23,62.060001,63.169998,61.990002,62.889999,38.003635,4449600
2015-06-24,62.599998,63.220001,62.580002,62.639999,37.852562,2244400
2015-06-25,62.459999,62.630001,61.919998,62.060001,37.502075,1993800
2015-06-26,61.840000,61.990002,61.320000,61.900002,37.405396,3623200
2015-06-29,61.180000,61.730000,61.020000,61.110001,36.928001,2159300
2015-06-30,61.610001,61.889999,61.049999,61.700001,37.284542,2788100
2015-07-01,61.750000,61.959999,59.480000,60.009998,36.263290,4174600
2015-07-02,60.189999,60.680000,59.830002,60.349998,36.468742,2565100
2015-07-06,59.209999,60.290001,59.009998,59.299999,35.834240,3464700
2015-07-07,59.090000,60.750000,58.529999,60.680000,36.668156,2986000
2015-07-08,60.599998,60.630001,59.480000,59.740002,36.100124,5344200
2015-07-09,60.669998,60.770000,59.869999,60.150002,36.347885,2561800
2015-07-10,60.450001,60.660000,59.669998,59.709999,36.082001,2622200
2015-07-13,59.639999,60.450001,59.410000,60.299999,36.438534,3525000
2015-07-14,60.299999,61.459999,60.110001,61.130001,36.940090,2610000
2015-07-15,60.820000,60.860001,59.480000,59.500000,35.955097,4155300
2015-07-16,59.950001,60.000000,58.680000,58.869999,35.574406,2326200
2015-07-17,58.570000,59.099998,57.869999,58.320000,35.242039,3680700
2015-07-20,58.880001,60.279999,58.880001,59.459999,35.930931,4831900
2015-07-21,59.459999,61.439999,59.360001,60.639999,36.643982,4019600
2015-07-22,60.410000,61.700001,52.799999,58.279999,35.217869,27297500
2015-07-23,58.900002,59.750000,58.490002,59.259998,35.810070,4051000
2015-07-24,59.450001,59.639999,58.400002,58.660000,35.447495,4466800
2015-07-27,57.720001,58.360001,57.220001,57.740002,34.891556,3354500
2015-07-28,57.900002,58.630001,57.000000,58.549999,35.381031,2859700
2015-07-29,58.060001,59.750000,57.700001,59.669998,36.057823,5948200
2015-07-30,59.630001,60.169998,58.340000,58.689999,35.465626,2551500
2015-07-31,58.490002,58.950001,58.119999,58.150002,35.139313,2468800
2015-08-03,57.490002,57.619999,55.400002,55.549999,33.568172,5326400
2015-08-04,55.889999,56.349998,54.959999,55.299999,33.417091,4635100
2015-08-05,55.779999,56.860001,55.660000,56.330002,34.039509,2869800
2015-08-06,55.959999,56.750000,55.389999,56.560001,34.178505,2619200
2015-08-07,56.000000,56.759998,55.560001,55.720001,33.670895,2289600
2015-08-10,55.750000,57.900002,55.590000,57.830002,34.945942,2825600
2015-08-11,56.580002,57.709999,56.480000,57.540001,34.770702,2379800
2015-08-12,57.320000,59.009998,55.980000,58.599998,35.411247,3105300
2015-08-13,58.189999,58.380001,56.860001,56.900002,34.383949,2462100
2015-08-14,56.790001,57.990002,56.790001,57.330002,34.643795,2363800
2015-08-17,57.040001,57.419998,56.549999,56.759998,34.299355,2434100
2015-08-18,56.779999,57.270000,56.500000,56.650002,34.232883,1760200
2015-08-19,56.040001,56.160000,53.919998,54.090000,32.685905,4342000
2015-08-20,53.759998,54.189999,51.349998,51.360001,31.036200,5902200
2015-08-21,51.189999,51.889999,49.439999,49.520000,29.924316,4832900
2015-08-24,47.360001,48.660000,44.110001,45.759998,27.652189,7055800
2015-08-25,47.500000,48.889999,47.009998,47.740002,28.848680,5486500
2015-08-26,48.810001,49.340000,47.700001,49.200001,29.730940,4411500
2015-08-27,50.349998,53.860001,50.049999,53.750000,32.480442,5948000
2015-08-28,53.560001,55.049999,53.070000,54.720001,33.066608,4012600
2015-08-31,54.139999,56.049999,53.450001,56.000000,33.945549,3728900
2015-09-01,54.099998,55.330002,53.580002,54.380001,32.963566,5127300
2015-09-02,55.169998,55.220001,53.410000,54.740002,33.181774,2968500
2015-09-03,54.759998,55.939999,54.320000,54.820000,33.230278,5413000
2015-09-04,53.959999,54.410000,53.119999,53.259998,32.284649,3728700
2015-09-08,54.290001,54.430000,53.380001,54.009998,32.739277,4247700
2015-09-09,54.500000,55.110001,52.880001,52.990002,32.120979,3346500
2015-09-10,53.119999,54.330002,52.209999,53.680000,32.539234,3043500
2015-09-11,53.680000,53.680000,52.209999,53.080002,32.175533,4253400
2015-09-14,52.639999,53.779999,52.549999,53.180000,32.236156,2735300
2015-09-15,53.430000,53.900002,53.040001,53.419998,32.381638,1979300
2015-09-16,53.669998,55.779999,53.570000,55.660000,33.739452,2543200
2015-09-17,55.570000,56.139999,55.009998,55.290001,33.515175,2220100
2015-09-18,54.189999,54.450001,53.160000,53.470001,32.411942,4364500
2015-09-21,54.299999,55.029999,53.480000,54.730000,33.175720,5218400
2015-09-22,53.310001,54.970001,53.020000,54.290001,32.909004,3932700
2015-09-23,54.619999,54.619999,53.720001,54.000000,32.733215,1725800
2015-09-24,53.310001,53.990002,53.000000,53.209999,32.254333,3452900
2015-09-25,53.759998,53.849998,51.970001,52.500000,31.823952,2630200
2015-09-28,51.939999,52.090000,50.459999,50.500000,30.611612,3266400
2015-09-29,51.009998,51.560001,49.970001,50.470001,30.593428,2423000
2015-09-30,50.849998,52.139999,50.820000,52.040001,31.545122,4118900
2015-10-01,52.630001,52.970001,50.529999,51.180000,31.023813,2681500
2015-10-02,50.669998,53.349998,50.580002,53.349998,32.339199,3167100
2015-10-05,54.049999,54.910000,53.570000,54.630001,33.115097,3212800
2015-10-06,55.000000,56.389999,54.270000,55.310001,33.527294,3408900
2015-10-07,56.130001,58.230000,55.939999,56.680000,34.357746,3471000
2015-10-08,56.680000,57.430000,55.439999,57.330002,34.751762,1778900
2015-10-09,57.500000,57.869999,55.939999,56.439999,34.212276,2140500
2015-10-12,56.580002,56.689999,55.009998,55.680000,33.751587,1444500
2015-10-13,55.320000,56.389999,54.750000,55.020000,33.351509,1832400
2015-10-14,55.049999,55.419998,54.540001,55.009998,33.345444,2087000
2015-10-15,55.049999,56.209999,54.209999,56.189999,34.060730,2558400
2015-10-16,56.810001,56.810001,53.340000,53.830002,32.630169,5427900
2015-10-19,53.250000,54.009998,52.900002,53.330002,32.327076,3513800
2015-10-20,53.279999,53.889999,52.970001,53.169998,32.230083,3546200
2015-10-21,52.950001,55.110001,52.950001,54.410000,32.981743,3866100
2015-10-22,54.970001,56.169998,54.970001,55.590000,33.697025,4318400
2015-10-23,55.060001,55.400002,52.049999,53.930000,32.690781,3389600
2015-10-26,53.779999,53.910000,52.299999,52.459999,31.799709,2931200
2015-10-27,51.630001,53.090000,51.400002,51.500000,31.217791,4670600
2015-10-28,52.090000,53.540001,51.610001,52.799999,32.005806,2275300
2015-10-29,52.740002,53.330002,52.110001,52.590000,31.878513,1528000
2015-10-30,52.810001,53.380001,52.060001,52.680000,31.933071,2404200
2015-11-02,52.700001,53.470001,51.810001,53.290001,32.302834,3681900
2015-11-03,53.709999,54.759998,53.240002,54.459999,33.012051,3967000
2015-11-04,54.240002,54.270000,50.700001,51.560001,31.254162,5678000
2015-11-05,51.310001,51.619999,49.599998,49.880001,30.235792,8398300
2015-11-06,49.490002,52.150002,49.130001,52.080002,31.569361,3944700
2015-11-09,51.950001,51.970001,50.270000,51.660000,31.314774,2399300
2015-11-10,51.320000,51.480000,49.730000,49.830002,30.205479,4165600
2015-11-11,49.950001,49.950001,47.709999,49.000000,29.702356,3384400
2015-11-12,48.169998,49.759998,47.759998,48.139999,29.181055,6345100
2015-11-13,48.000000,48.389999,46.840000,47.660000,28.890093,3366400
2015-11-16,47.570000,49.889999,47.570000,49.389999,29.938770,4510200
2015-11-17,49.410000,49.790001,48.759998,49.470001,29.987259,3150100
2015-11-18,49.970001,51.840000,49.939999,51.680000,31.326900,5667200
2015-11-19,51.270000,51.480000,50.400002,50.869999,30.835901,2832600
2015-11-20,50.869999,51.150002,49.630001,51.009998,30.920761,4404600
2015-11-23,50.820000,51.490002,50.459999,51.419998,31.169296,2277800
2015-11-24,51.630001,53.689999,51.470001,53.090000,32.181599,2950500
2015-11-25,52.820000,53.200001,52.360001,52.500000,31.823952,1614400
2015-11-27,52.080002,52.939999,51.810001,52.779999,31.993685,981200
2015-11-30,53.060001,55.189999,52.810001,54.070000,32.775646,3900300
2015-12-01,53.830002,54.840000,53.150002,54.759998,33.298595,3262400
2015-12-02,54.279999,55.240002,53.279999,53.849998,32.745235,4845300
2015-12-03,54.639999,54.880001,52.270000,52.619999,31.997305,5601000
2015-12-04,51.919998,52.820000,51.099998,52.619999,31.997305,3876900
2015-12-07,51.470001,51.790001,48.799999,49.860001,30.318996,6474300
2015-12-08,49.009998,51.180000,48.509998,49.369999,30.021032,3161300
2015-12-09,49.500000,53.470001,49.500000,53.029999,32.246613,7452000
2015-12-10,52.759998,53.490002,51.349998,51.680000,31.425697,7793900
2015-12-11,50.919998,51.279999,47.029999,47.799999,29.066341,8541700
2015-12-14,45.230000,47.169998,43.000000,46.779999,28.446098,12964200
2015-12-15,47.660000,49.759998,46.070000,46.500000,28.275831,10745800
2015-12-16,46.439999,46.939999,44.669998,44.759998,27.217770,8231400
2015-12-17,44.880001,45.410000,43.330002,43.360001,26.366455,6107300
2015-12-18,43.240002,44.500000,42.779999,43.919998,26.706982,9370900
2015-12-21,44.220001,44.389999,43.169998,43.759998,26.609688,3074900
2015-12-22,44.099998,45.410000,43.930000,45.169998,27.467079,2274000
2015-12-23,45.990002,47.660000,45.849998,47.630001,28.962969,3402600
2015-12-24,47.680000,48.599998,47.060001,47.720001,29.017694,1498000
2015-12-28,46.840000,47.330002,45.619999,45.689999,27.783289,2338800
2015-12-29,46.910000,47.040001,45.799999,46.490002,28.269753,1181700
2015-12-30,45.950001,46.820000,45.740002,45.759998,27.825853,1481900
2015-12-31,45.380001,46.400002,45.320000,46.150002,28.063009,1341200
2016-01-04,45.849998,47.430000,45.560001,47.250000,28.731899,2987400
2016-01-05,47.189999,47.880001,45.560001,45.919998,27.923147,2560500
2016-01-06,44.480000,45.500000,43.549999,43.650002,26.542803,4854900
2016-01-07,42.570000,43.830002,42.320000,42.520000,25.855671,3202200
2016-01-08,42.889999,43.009998,41.380001,41.580002,25.284071,1905000
2016-01-11,41.639999,42.270000,40.770000,41.509998,25.241499,4344300
2016-01-12,42.200001,42.250000,40.130001,41.040001,24.955706,2517200
2016-01-13,41.799999,42.189999,38.650002,39.250000,23.867235,4142400
2016-01-14,39.450001,41.549999,38.619999,41.169998,25.034754,2356700
2016-01-15,39.480000,40.220001,38.990002,39.889999,24.256409,2455800
2016-01-19,40.110001,40.869999,39.259998,39.790001,24.195604,3032300
2016-01-20,39.000000,39.340000,37.580002,38.880001,23.642244,3123800
2016-01-21,38.770000,41.330002,38.500000,40.730000,24.767199,3398100
2016-01-22,42.520000,42.950001,40.660000,42.040001,25.563789,2047900
2016-01-25,41.259998,41.770000,39.119999,39.180000,23.824673,2800500
2016-01-26,40.299999,40.590000,39.389999,39.970001,24.305063,2590600
2016-01-27,39.849998,41.880001,39.740002,40.830002,24.828009,2722500
2016-01-28,42.000000,43.290001,41.560001,43.119999,26.220516,2857400
2016-01-29,43.299999,44.160000,42.549999,43.509998,26.457668,4162700
2016-02-01,42.560001,43.650002,42.060001,43.290001,26.323898,2744300
2016-02-02,42.200001,42.500000,41.779999,42.000000,25.539465,1739100
2016-02-03,42.720001,44.459999,41.959999,44.410000,27.004940,2771700
2016-02-04,44.980000,45.849998,43.910000,44.240002,26.901566,2297200
2016-02-05,43.750000,45.090000,42.650002,44.849998,27.272495,4157300
2016-02-08,43.130001,43.599998,42.220001,42.820000,26.038086,6173600
2016-02-09,42.230000,42.900002,41.590000,41.750000,25.387449,5533500
2016-02-10,41.750000,42.320000,41.220001,41.509998,25.241499,3310000
2016-02-11,40.400002,40.990002,39.110001,39.779999,24.189526,3393600
2016-02-12,40.400002,40.790001,39.400002,39.900002,24.262489,4239400
2016-02-16,40.689999,41.470001,40.259998,41.200001,25.052999,4099100
2016-02-17,41.820000,42.930000,41.470001,42.490002,25.837425,2398200
2016-02-18,43.060001,43.330002,41.830002,41.990002,25.533382,1830300
2016-02-19,42.130001,42.250000,41.299999,42.139999,25.624601,2585900
2016-02-22,43.119999,43.720001,42.770000,43.490002,26.445505,2629100
2016-02-23,43.490002,43.709999,42.360001,42.490002,25.837425,3534300
2016-02-24,41.639999,42.279999,41.200001,41.910000,25.484735,1873300
2016-02-25,41.830002,43.779999,41.500000,43.250000,26.299568,3071600
2016-02-26,44.099998,45.189999,43.759998,44.250000,26.907650,2425300
2016-02-29,44.169998,44.529999,42.230000,42.869999,26.169031,3488400
2016-03-01,43.290001,44.470001,43.160000,44.259998,27.017530,3002500
2016-03-02,44.230000,45.509998,43.090000,45.410000,27.719519,3298600
2016-03-03,45.139999,46.990002,45.139999,46.549999,28.415405,3166100
2016-03-04,46.669998,47.450001,45.529999,46.200001,28.201756,3415600
2016-03-07,45.779999,47.520000,45.660000,46.580002,28.433723,4999000
2016-03-08,46.250000,46.459999,43.869999,44.049999,26.889341,3933700
2016-03-09,44.759998,45.299999,43.669998,44.310001,27.048046,3295000
2016-03-10,44.200001,44.610001,42.599998,43.529999,26.571918,2274400
2016-03-11,44.250000,46.000000,43.880001,45.790001,27.951485,3679500
2016-03-14,44.930000,45.419998,43.389999,43.880001,26.785564,4924500
2016-03-15,43.279999,44.220001,42.759998,44.209999,26.987007,2138100
2016-03-16,44.650002,46.009998,44.310001,45.900002,28.018625,4071800
2016-03-17,46.270000,47.049999,45.740002,46.810001,28.574118,6545600
2016-03-18,47.279999,47.470001,46.610001,47.439999,28.958689,5405200
2016-03-21,47.130001,47.590000,46.450001,47.040001,28.714518,2501800
2016-03-22,46.540001,47.169998,46.180000,46.430000,28.342159,2481400
2016-03-23,46.230000,46.599998,44.919998,44.959999,27.444824,2057400
2016-03-24,44.270000,44.849998,43.759998,44.680000,27.273907,2644300
2016-03-28,44.820000,44.930000,43.570000,43.869999,26.779457,1845900
2016-03-29,43.330002,43.430000,42.330002,42.720001,26.077467,2894100
2016-03-30,43.270000,44.320000,42.619999,43.369999,26.474241,3782300
2016-03-31,43.320000,44.040001,43.189999,43.830002,26.755041,2126500
2016-04-01,42.950001,44.020000,42.669998,42.950001,26.217865,3035100
2016-04-04,41.799999,42.580002,40.240002,41.470001,25.314442,7146100
2016-04-05,40.790001,41.080002,38.160000,39.360001,24.026430,11392700
2016-04-06,39.000000,43.250000,38.770000,42.830002,26.144615,14881000
2016-04-07,42.220001,43.320000,41.070000,41.930000,25.595238,8520500
2016-04-08,43.160000,43.880001,42.400002,43.110001,26.315538,5291400
2016-04-11,43.470001,43.740002,41.189999,41.740002,25.479254,4467100
2016-04-12,41.750000,42.169998,40.349998,41.230000,25.167931,6654800
2016-04-13,41.119999,41.630001,40.689999,41.299999,25.210659,5481900
2016-04-14,41.529999,43.869999,41.180000,43.180000,26.358263,8396700
2016-04-15,43.119999,43.900002,42.450001,43.799999,26.736729,3492100
2016-04-18,42.919998,45.830002,42.709999,45.700001,27.896544,3344700
2016-04-19,45.820000,46.599998,45.380001,46.500000,28.384882,2918500
2016-04-20,46.380001,47.169998,45.619999,47.000000,28.690100,7722900
2016-04-21,46.580002,47.419998,46.360001,46.689999,28.500862,3469700
2016-04-22,47.110001,48.160000,45.700001,46.430000,28.342159,4487800
2016-04-25,46.169998,46.400002,44.509998,45.040001,27.493666,3519300
2016-04-26,45.340000,45.810001,44.750000,45.799999,27.957586,2588000
2016-04-27,44.230000,47.669998,44.049999,46.939999,28.653469,5430000
2016-04-28,46.349998,48.110001,46.349998,47.860001,29.215065,5561600
2016-04-29,47.900002,49.250000,47.310001,48.360001,29.520283,3650400
2016-05-02,49.439999,50.759998,45.930000,47.400002,28.934269,13238100
2016-05-03,46.689999,46.959999,45.150002,45.540001,27.798876,8688700
2016-05-04,45.500000,46.040001,44.139999,44.490002,27.157925,4560800
2016-05-05,45.130001,45.619999,44.290001,45.049999,27.499763,4238600
2016-05-06,44.590000,46.279999,44.500000,45.880001,28.006426,4059300
2016-05-09,45.450001,45.689999,43.900002,44.250000,27.011421,3671900
2016-05-10,44.529999,45.270000,44.130001,45.230000,27.609642,3852500
2016-05-11,45.119999,45.709999,44.660000,44.820000,27.359369,3133700
2016-05-12,45.310001,45.610001,44.830002,45.470001,27.756144,3174500
2016-05-13,45.290001,45.619999,44.619999,44.630001,27.243383,2895200
2016-05-16,45.299999,46.279999,45.020000,45.880001,28.006426,3860000
2016-05-17,45.500000,47.369999,45.490002,46.799999,28.568014,4436900
2016-05-18,46.639999,47.080002,45.540001,45.950001,28.049143,3709400
2016-05-19,45.419998,45.860001,44.580002,45.240002,27.615747,2644400
2016-05-20,45.459999,45.700001,44.930000,45.330002,27.670685,3556500
2016-05-23,45.090000,45.470001,44.689999,44.889999,27.402102,4130600
2016-05-24,44.910000,45.150002,43.740002,43.959999,26.834400,5833600
2016-05-25,44.310001,45.830002,44.299999,45.549999,27.804979,3983300
2016-05-26,45.799999,46.189999,45.369999,45.570000,27.817186,3704300
2016-05-27,45.250000,46.080002,45.180000,46.040001,28.209320,2557900
2016-05-31,45.980000,46.860001,45.930000,46.380001,28.417643,3733500
2016-06-01,45.680000,46.939999,45.230000,46.330002,28.387009,3807700
2016-06-02,45.990002,46.290001,45.419998,45.900002,28.123541,3252300
2016-06-03,45.880001,46.660000,45.759998,46.240002,28.331863,3888000
2016-06-06,46.750000,49.669998,46.680000,49.520000,30.341568,5040600
2016-06-07,49.650002,49.950001,48.869999,48.900002,29.961687,4489100
2016-06-08,49.000000,49.299999,47.549999,47.930000,29.367352,4417100
2016-06-09,47.590000,47.910000,47.150002,47.549999,29.134525,2226100
2016-06-10,47.000000,47.349998,45.869999,45.939999,28.148052,2383300
