Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,19.389999,19.600000,19.389999,19.389999,15.310307,3652300
2015-06-11,19.480000,19.590000,19.420000,19.490000,15.389268,2417700
2015-06-12,19.410000,19.490000,19.240000,19.260000,15.207661,1611200
2015-06-15,19.200001,19.250000,19.049999,19.129999,15.105012,3275400
2015-06-16,19.110001,19.180000,19.030001,19.080000,15.065532,3005500
2015-06-17,19.139999,19.430000,19.120001,19.389999,15.310307,3856400
2015-06-18,19.490000,19.730000,19.370001,19.670000,15.531395,3742600
2015-06-19,19.620001,19.709999,19.480000,19.520000,15.412956,3827500
2015-06-22,19.540001,19.820000,19.459999,19.709999,15.562976,4178900
2015-06-23,19.600000,19.719999,19.280001,19.340000,15.270823,2679600
2015-06-24,19.350000,19.469999,19.170000,19.170000,15.136593,4494800
2015-06-25,19.209999,19.320000,19.120001,19.160000,15.128703,4704300
2015-06-26,19.160000,19.370001,19.049999,19.350000,15.278725,3511600
2015-06-29,19.270000,19.530001,19.260000,19.260000,15.207661,4244400
2015-06-30,19.340000,19.360001,18.920000,19.030001,15.026052,6446600
2015-07-01,19.070000,19.170000,18.990000,19.080000,15.065532,3134400
2015-07-02,19.139999,19.360001,19.100000,19.350000,15.278725,3589000
2015-07-06,19.299999,19.400000,19.110001,19.219999,15.176070,4107200
2015-07-07,19.280001,19.660000,19.270000,19.600000,15.476124,5090600
2015-07-08,19.580000,19.600000,19.110001,19.219999,15.176070,4985000
2015-07-09,19.309999,19.480000,18.940001,18.950001,14.962881,7152700
2015-07-10,18.990000,19.290001,18.959999,19.120001,15.097117,2918900
2015-07-13,19.190001,19.270000,19.070000,19.170000,15.136593,2202100
2015-07-14,19.180000,19.299999,19.139999,19.260000,15.207661,2129400
2015-07-15,19.260000,19.280001,19.129999,19.270000,15.215558,1667300
2015-07-16,19.320000,19.410000,19.160000,19.240000,15.191868,5125300
2015-07-17,19.209999,19.299999,18.990000,19.000000,15.002360,3744000
2015-07-20,19.000000,19.010000,18.719999,18.750000,14.804966,3683800
2015-07-21,18.750000,18.809999,18.549999,18.590000,14.678629,2245600
2015-07-22,18.580000,18.820000,18.559999,18.620001,14.702315,2780600
2015-07-23,18.590000,18.629999,18.230000,18.340000,14.481229,3371300
2015-07-24,18.309999,18.420000,18.200001,18.290001,14.441750,2845800
2015-07-27,18.270000,18.700001,18.270000,18.680000,14.749690,3452800
2015-07-28,18.760000,18.959999,18.610001,18.889999,14.915508,4595200
2015-07-29,18.820000,19.170000,18.770000,19.080000,15.065532,3367200
2015-07-30,19.040001,19.200001,18.959999,19.139999,15.112908,2423300
2015-07-31,19.270000,19.469999,19.200001,19.340000,15.270823,3686000
2015-08-03,19.370001,19.450001,19.090000,19.219999,15.176070,2634700
2015-08-04,19.209999,19.440001,18.830000,18.860001,14.891823,2147600
2015-08-05,18.930000,19.190001,18.900000,19.040001,15.033948,2940000
2015-08-06,19.090000,19.110001,18.709999,19.080000,15.065532,4578300
2015-08-07,19.040001,19.260000,18.930000,19.139999,15.112908,4399200
2015-08-10,19.040001,19.590000,18.920000,19.530001,15.420855,4787900
2015-08-11,19.520000,19.660000,19.260000,19.360001,15.286621,4562600
2015-08-12,19.040001,19.629999,19.000000,19.590000,15.668945,4325700
2015-08-13,19.549999,19.700001,19.330000,19.639999,15.708937,5087300
2015-08-14,19.590000,19.930000,19.549999,19.920000,15.932897,3747500
2015-08-17,19.920000,20.000000,19.850000,19.920000,15.932897,3332000
2015-08-18,19.889999,19.959999,19.840000,19.910000,15.924895,2802700
2015-08-19,19.840000,19.950001,19.700001,19.900000,15.916897,3316100
2015-08-20,19.780001,20.100000,19.700001,19.820000,15.852909,4707700
2015-08-21,19.709999,19.820000,19.290001,19.309999,15.444987,4218600
2015-08-24,18.559999,19.070000,18.250000,18.490000,14.789116,7274400
2015-08-25,18.840000,18.930000,17.900000,17.920000,14.333205,5067800
2015-08-26,18.180000,18.240000,17.719999,18.230000,14.581156,5287800
2015-08-27,18.379999,18.770000,18.280001,18.750000,14.997077,4020700
2015-08-28,18.740000,18.870001,18.639999,18.820000,15.053064,3995500
2015-08-31,18.730000,18.750000,18.330000,18.620001,14.893094,5289600
2015-09-01,18.309999,18.320000,17.750000,17.840000,14.269218,4717400
2015-09-02,18.049999,18.070000,17.480000,17.719999,14.173236,5898100
2015-09-03,17.760000,18.070000,17.750000,17.940001,14.349201,3506400
2015-09-04,17.770000,17.790001,17.540001,17.610001,14.085256,3504700
2015-09-08,17.879999,18.010000,17.799999,17.980000,14.381195,2542500
2015-09-09,18.070000,18.090000,17.719999,17.750000,14.197232,3845000
2015-09-10,17.730000,18.010000,17.680000,17.730000,14.181234,3279300
2015-09-11,17.620001,17.760000,17.570000,17.690001,14.149240,3233500
2015-09-14,17.719999,17.860001,17.670000,17.809999,14.245224,2862600
2015-09-15,17.850000,17.910000,17.709999,17.870001,14.293214,3002000
2015-09-16,17.920000,18.170000,17.830000,18.139999,14.509171,1809800
2015-09-17,18.139999,18.570000,18.070000,18.280001,14.621145,2496400
2015-09-18,18.080000,18.350000,18.010000,18.049999,14.437186,4632300
2015-09-21,18.129999,18.340000,18.059999,18.190001,14.549163,2875200
2015-09-22,18.040001,18.160000,17.750000,17.820000,14.253221,3422000
2015-09-23,17.820000,17.950001,17.719999,17.750000,14.197232,3123500
2015-09-24,17.700001,17.920000,17.690001,17.820000,14.253221,5344800
2015-09-25,17.860001,18.049999,17.680000,17.889999,14.309209,6715400
2015-09-28,17.820000,17.920000,17.530001,17.540001,14.029264,6013700
2015-09-29,17.580000,17.660000,17.480000,17.530001,14.021267,5777900
2015-09-30,17.639999,18.049999,17.570000,18.040001,14.429186,3367400
2015-10-01,18.100000,18.139999,17.600000,17.770000,14.213227,3464600
2015-10-02,17.760000,18.030001,17.620001,18.030001,14.421186,4183100
2015-10-05,18.160000,18.580000,18.059999,18.549999,14.837107,3812200
2015-10-06,18.530001,18.650000,18.350000,18.490000,14.789116,3052900
2015-10-07,18.570000,18.820000,18.510000,18.570000,14.853104,4415000
2015-10-08,18.549999,18.809999,18.480000,18.740000,14.989077,3545500
2015-10-09,18.750000,18.809999,18.549999,18.670000,14.933087,2330500
2015-10-12,18.670000,18.840000,18.480000,18.540001,14.829106,2881700
2015-10-13,18.559999,18.620001,18.360001,18.389999,14.709129,4469300
2015-10-14,18.430000,18.459999,18.240000,18.260000,14.605151,3805400
2015-10-15,18.309999,18.719999,18.270000,18.660000,14.925089,4947500
2015-10-16,18.740000,18.850000,18.570000,18.700001,14.957087,3066100
2015-10-19,18.309999,18.530001,18.260000,18.480000,14.781119,5051100
2015-10-20,18.430000,18.680000,18.430000,18.590000,14.869099,3329000
2015-10-21,18.629999,18.930000,18.570000,18.770000,15.013076,4191700
2015-10-22,18.840000,19.260000,18.840000,19.129999,15.301013,5540200
2015-10-23,19.160000,19.250000,18.570000,18.620001,14.893094,3988200
2015-10-26,18.670000,18.790001,18.510000,18.770000,15.013076,4498200
2015-10-27,18.690001,18.760000,18.510000,18.590000,14.869099,4322900
2015-10-28,18.660000,18.760000,18.309999,18.530001,14.821110,4340600
2015-10-29,18.459999,18.590000,18.270000,18.530001,14.821110,5457300
2015-10-30,18.559999,18.650000,18.430000,18.549999,14.837107,5422200
2015-11-02,18.549999,18.610001,18.360001,18.500000,14.797116,5130400
2015-11-03,18.490000,18.730000,18.400000,18.730000,14.981079,4075300
2015-11-04,18.719999,18.809999,18.590000,18.680000,14.941090,4442600
2015-11-05,18.760000,18.900000,18.469999,18.510000,14.805113,5799800
2015-11-06,18.459999,18.730000,17.260000,17.459999,13.965278,10387300
2015-11-09,17.430000,17.570000,17.270000,17.500000,13.997269,6192500
2015-11-10,17.250000,17.430000,17.080000,17.129999,13.898285,3397200
2015-11-11,17.170000,17.389999,17.010000,17.330000,14.060554,5128900
2015-11-12,17.209999,17.379999,16.900000,16.910000,13.719792,3381900
2015-11-13,16.900000,17.040001,16.860001,16.959999,13.760357,3838200
2015-11-16,16.930000,17.240000,16.879999,17.230000,13.979421,3017200
2015-11-17,17.209999,17.320000,17.010000,17.070000,13.849606,3482600
2015-11-18,17.030001,17.180000,16.870001,17.160000,13.922628,3038400
2015-11-19,17.160000,17.290001,17.049999,17.100000,13.873945,2664900
2015-11-20,17.170000,17.320000,16.990000,17.090000,13.865832,3251000
2015-11-23,17.100000,17.219999,16.959999,17.000000,13.792813,4644100
2015-11-24,16.980000,17.100000,16.850000,17.059999,13.841494,4707000
2015-11-25,17.059999,17.150000,16.920000,17.080000,13.857720,3043800
2015-11-27,17.070000,17.160000,17.000000,17.000000,13.792813,1181200
2015-11-30,17.010000,17.090000,16.940001,16.950001,13.752248,4070000
2015-12-01,17.010000,17.150000,16.840000,16.990000,13.784696,4259500
2015-12-02,16.940001,17.000000,16.570000,16.600000,13.468277,5754900
2015-12-03,16.520000,16.629999,16.350000,16.450001,13.346574,4726900
2015-12-04,16.480000,16.629999,16.370001,16.510000,13.395253,4627200
2015-12-07,16.459999,16.500000,16.209999,16.410000,13.314120,3844800
2015-12-08,16.290001,16.379999,16.150000,16.340000,13.257325,3236300
2015-12-09,16.330000,16.639999,16.260000,16.410000,13.314120,2873100
2015-12-10,16.410000,16.530001,16.070000,16.139999,13.095057,5313100
2015-12-11,16.139999,17.469999,16.049999,16.690001,13.541296,20470300
2015-12-14,16.670000,16.840000,16.299999,16.540001,13.419597,5570500
2015-12-15,16.610001,16.959999,16.590000,16.889999,13.703565,4938000
2015-12-16,16.950001,17.629999,16.930000,17.600000,14.279618,7606300
2015-12-17,17.629999,17.889999,17.440001,17.840000,14.474340,10916700
2015-12-18,17.730000,17.809999,17.410000,17.430000,14.141689,8626900
2015-12-21,17.459999,17.540001,17.260000,17.530001,14.222824,4986900
2015-12-22,17.549999,17.709999,17.260000,17.590000,14.271503,9144400
2015-12-23,17.680000,18.139999,17.680000,18.049999,14.644723,8384000
2015-12-24,18.049999,18.219999,17.980000,18.110001,14.693402,3405300
2015-12-28,18.040001,18.209999,17.900000,18.180000,14.750196,4482900
2015-12-29,18.330000,18.480000,18.240000,18.459999,14.977371,4442500
2015-12-30,18.400000,18.480000,18.219999,18.299999,14.847555,3638600
2015-12-31,18.290001,18.480000,18.059999,18.360001,14.896239,4090500
2016-01-04,18.260000,18.290001,17.950001,18.270000,14.823215,5118100
2016-01-05,18.309999,18.490000,18.040001,18.440001,14.961143,4854700
2016-01-06,18.280001,18.450001,18.100000,18.209999,14.774536,4372800
2016-01-07,17.980000,18.110001,17.780001,17.850000,14.482454,3701400
2016-01-08,17.940001,18.240000,17.770000,17.809999,14.450001,4660200
2016-01-11,17.709999,17.879999,17.440001,17.600000,14.279618,6813900
2016-01-12,17.639999,17.690001,17.129999,17.299999,14.036215,5609100
2016-01-13,17.320000,17.510000,17.030001,17.070000,13.849606,7041800
2016-01-14,17.110001,17.709999,16.940001,17.629999,14.303956,6195400
2016-01-15,17.290001,17.430000,17.010000,17.299999,14.036215,6491900
2016-01-19,17.430000,17.530001,17.320000,17.500000,14.198482,4798000
2016-01-20,17.270000,17.440001,16.379999,16.900000,13.711679,8473300
2016-01-21,16.950001,17.610001,16.900000,17.430000,14.141689,9739900
2016-01-22,17.770000,17.870001,17.610001,17.780001,14.425658,6390700
2016-01-25,17.690001,17.809999,17.020000,17.100000,13.873945,4858100
2016-01-26,17.200001,17.480000,17.200001,17.370001,14.093008,3556400
2016-01-27,17.350000,17.450001,17.170000,17.309999,14.044328,3908800
2016-01-28,17.500000,17.680000,17.260000,17.540001,14.230937,4402600
2016-01-29,17.700001,17.940001,17.680000,17.870001,14.498681,5865900
2016-02-01,18.250000,18.799999,18.240000,18.620001,15.107184,10143200
2016-02-02,18.520000,18.610001,18.209999,18.420000,14.944920,5600800
2016-02-03,18.549999,19.270000,18.540001,19.049999,15.456063,6606100
2016-02-04,19.059999,19.240000,18.910000,18.950001,15.374929,4189900
2016-02-05,19.040001,19.040001,18.660000,18.850000,15.293797,6012200
2016-02-08,18.870001,19.059999,18.280001,18.430000,14.953032,8203300
2016-02-09,18.430000,18.730000,18.320000,18.549999,15.050392,6138800
2016-02-10,18.590000,18.719999,18.120001,18.510000,15.017939,6144800
2016-02-11,18.100000,18.270000,17.520000,17.650000,14.522608,6796100
2016-02-12,17.690001,17.990000,17.549999,17.969999,14.785904,7357400
2016-02-16,18.080000,18.209999,17.799999,18.100000,14.892870,6571600
2016-02-17,18.260000,18.469999,18.040001,18.340000,15.090346,4172400
2016-02-18,18.379999,18.660000,18.299999,18.559999,15.271366,3643900
2016-02-19,18.430000,18.490000,18.299999,18.440001,15.172625,2863500
2016-02-22,18.570000,18.850000,18.490000,18.639999,15.337189,5069500
2016-02-23,18.469999,18.590000,18.389999,18.580000,15.287825,3282100
2016-02-24,18.410000,18.889999,18.360001,18.860001,15.518208,3920000
2016-02-25,18.900000,19.170000,18.730000,19.139999,15.748592,5659000
2016-02-26,18.750000,18.980000,18.400000,18.530001,15.246677,6866900
2016-02-29,18.500000,18.820000,18.500000,18.629999,15.328960,5603900
2016-03-01,18.799999,18.930000,18.600000,18.670000,15.361873,4188800
2016-03-02,18.570000,18.879999,18.320000,18.820000,15.485292,5520500
2016-03-03,18.840000,18.870001,18.480000,18.780001,15.452386,4531100
2016-03-04,18.719999,19.650000,18.700001,19.490000,16.036575,7060400
2016-03-07,19.410000,19.870001,19.350000,19.690001,16.201139,6150500
2016-03-08,19.680000,19.900000,19.510000,19.860001,16.341019,3918500
2016-03-09,19.870001,20.170000,19.830000,19.950001,16.415073,5377300
2016-03-10,19.930000,20.309999,19.840000,20.190001,16.612547,6677100
2016-03-11,20.340000,20.459999,20.150000,20.280001,16.686598,3223300
2016-03-14,20.260000,20.549999,20.219999,20.430000,16.810020,3783400
2016-03-15,20.309999,20.580000,20.260000,20.510000,16.875847,5307400
2016-03-16,20.400000,20.709999,20.320000,20.629999,16.974581,3559100
2016-03-17,20.670000,21.170000,20.670000,21.070000,17.336618,4062700
2016-03-18,21.129999,21.219999,20.719999,20.730000,17.056862,7773400
2016-03-21,20.690001,20.980000,20.559999,20.950001,17.237883,3092400
2016-03-22,20.980000,21.049999,20.840000,20.969999,17.254333,2698600
2016-03-23,20.920000,21.020000,20.790001,20.940001,17.229652,3025600
2016-03-24,20.840000,21.080000,20.719999,21.000000,17.279020,2021200
2016-03-28,21.059999,21.080000,20.700001,20.790001,17.106230,2826400
2016-03-29,20.790001,21.290001,20.740000,21.250000,17.484726,3483400
2016-03-30,21.309999,21.389999,20.650000,20.850000,17.155602,7644600
2016-03-31,20.900000,21.059999,20.770000,20.920000,17.213200,6063300
2016-04-01,20.840000,21.260000,20.730000,21.200001,17.443584,4669700
2016-04-04,21.180000,21.190001,20.910000,20.959999,17.246109,3055000
2016-04-05,20.889999,20.969999,20.500000,20.510000,16.875847,3407400
2016-04-06,20.530001,20.740000,20.469999,20.719999,17.048634,3750400
2016-04-07,20.610001,20.850000,20.610001,20.730000,17.056862,3196200
2016-04-08,20.900000,21.010000,20.820000,20.910000,17.204971,3524000
2016-04-11,20.950001,21.150000,20.799999,20.860001,17.163828,2329100
2016-04-12,20.900000,21.360001,20.889999,21.260000,17.492954,3648200
2016-04-13,21.330000,21.360001,21.100000,21.200001,17.443584,2396600
2016-04-14,21.180000,21.230000,20.900000,20.959999,17.246109,2916400
2016-04-15,20.950001,21.059999,20.900000,20.990000,17.270794,2740700
2016-04-18,20.900000,21.030001,20.760000,21.020000,17.295479,3955300
2016-04-19,21.100000,21.170000,20.910000,21.000000,17.279020,4859500
2016-04-20,20.980000,21.049999,20.549999,20.580000,16.933445,3448800
2016-04-21,20.600000,20.750000,20.459999,20.549999,16.908756,4541900
2016-04-22,20.670000,20.930000,20.660000,20.809999,17.122683,2565600
2016-04-25,20.760000,21.070000,20.650000,21.059999,17.328394,3855700
2016-04-26,21.090000,21.219999,20.969999,21.100000,17.361303,3080100
2016-04-27,21.139999,21.510000,21.139999,21.430000,17.632830,3577800
2016-04-28,21.270000,21.510000,21.150000,21.360001,17.575235,3039800
2016-04-29,21.240000,21.500000,21.090000,21.450001,17.649288,4204000
2016-05-02,21.459999,21.750000,21.440001,21.700001,17.854988,4366700
2016-05-03,21.590000,21.660000,21.320000,21.440001,17.641058,2559000
2016-05-04,21.420000,21.840000,21.320000,21.680000,17.838531,3601000
2016-05-05,21.690001,21.889999,21.549999,21.650000,17.813848,3166200
2016-05-06,21.629999,21.700001,21.459999,21.629999,17.797394,2182100
2016-05-09,21.740000,21.840000,21.650000,21.680000,17.838531,3982700
2016-05-10,21.709999,22.120001,21.709999,22.100000,18.184114,5953600
2016-05-11,22.139999,22.299999,21.950001,22.010000,18.110064,6124400
2016-05-12,21.750000,22.170000,21.719999,22.110001,18.408121,4730000
2016-05-13,22.070000,22.250000,21.910000,22.000000,18.316538,3532400
2016-05-16,22.030001,22.250000,21.889999,22.240000,18.516359,3818800
2016-05-17,22.190001,22.250000,21.870001,22.000000,18.316538,4290000
2016-05-18,21.879999,21.920000,21.400000,21.530001,17.925234,5176000
2016-05-19,21.400000,21.910000,21.250000,21.889999,18.224958,3391200
2016-05-20,21.969999,22.070000,21.809999,22.070000,18.374819,2592700
2016-05-23,22.080000,22.139999,21.940001,21.980000,18.299887,3231700
2016-05-24,22.020000,22.150000,21.879999,22.030001,18.341516,2923500
2016-05-25,22.030001,22.190001,21.940001,22.120001,18.416447,2492900
2016-05-26,22.120001,22.360001,22.020000,22.350000,18.607939,2480100
2016-05-27,22.379999,22.510000,22.260000,22.510000,18.741152,3541900
2016-05-31,22.490000,22.730000,22.400000,22.530001,18.757803,3771200
2016-06-01,22.530001,22.590000,22.350000,22.590000,18.807755,2324200
2016-06-02,22.459999,22.629999,22.350000,22.600000,18.816078,1896500
2016-06-03,22.750000,23.000000,22.700001,22.910000,19.074175,2809900
2016-06-06,22.910000,23.129999,22.840000,23.070000,19.207386,3501500
2016-06-07,23.170000,23.219999,23.030001,23.110001,19.240690,3783300
2016-06-08,23.129999,23.260000,23.090000,23.260000,19.365574,2915600
2016-06-09,23.240000,23.420000,23.150000,23.389999,19.473810,2968400
2016-06-10,23.280001,23.350000,23.020000,23.139999,19.265667,3069800
2016-06-13,23.070000,23.209999,22.930000,22.969999,19.124130,3358100
2016-06-14,22.990000,23.080000,22.840000,23.070000,19.207386,2549600
2016-06-15,23.080000,23.150000,22.860001,22.950001,19.107485,4216000
2016-06-16,22.920000,23.100000,22.719999,23.040001,19.182415,2692900
2016-06-17,22.950001,23.129999,22.879999,23.100000,19.232367,4244100
2016-06-20,23.230000,23.290001,23.020000,23.219999,19.332272,4082600
2016-06-21,23.230000,23.670000,23.100000,23.500000,19.565393,3439200
2016-06-22,23.360001,23.490000,23.209999,23.240000,19.348925,3749600
2016-06-23,23.340000,23.500000,23.209999,23.490000,19.557064,2829600
2016-06-24,23.129999,23.520000,22.959999,23.340000,19.432182,3324700
2016-06-27,23.270000,23.420000,23.040001,23.170000,19.290646,3554300
2016-06-28,23.350000,23.620001,23.150000,23.620001,19.665300,4954200
2016-06-29,23.730000,24.030001,23.680000,24.000000,19.981678,4266800
2016-06-30,24.030001,24.110001,23.850000,24.000000,19.981678,8554300
2016-07-01,24.080000,24.200001,23.930000,24.049999,20.023310,3579300
2016-07-05,23.820000,24.120001,23.700001,24.049999,20.023310,7099300
2016-07-06,24.000000,24.110001,23.790001,24.049999,20.023310,5879800
2016-07-07,24.000000,24.049999,23.490000,23.520000,19.582043,8357500
2016-07-08,23.549999,23.910000,23.430000,23.900000,19.898420,4040900
2016-07-11,23.820000,23.889999,23.660000,23.809999,19.823488,3499200
2016-07-12,23.760000,23.870001,23.660000,23.700001,19.731909,4811600
2016-07-13,23.860001,23.959999,23.719999,23.940001,19.931725,6518200
2016-07-14,23.840000,23.920000,23.549999,23.660000,19.698606,3415300
2016-07-15,23.740000,24.110001,23.680000,24.059999,20.031633,4717800
2016-07-18,24.090000,24.139999,23.870001,23.950001,19.940048,3871800
2016-07-19,23.950001,24.020000,23.820000,23.920000,19.915073,4065300
2016-07-20,23.930000,24.160000,23.850000,24.120001,20.081585,5258600
2016-07-21,24.070000,24.270000,24.000000,24.240000,20.181494,3335400
2016-07-22,24.219999,24.709999,24.209999,24.690001,20.556150,4146100
2016-07-25,24.650000,24.690001,24.370001,24.510000,20.406292,3452600
2016-07-26,24.530001,24.570000,24.260000,24.320000,20.248100,2983900
2016-07-27,24.320000,24.360001,23.740000,23.900000,19.898420,5296800
2016-07-28,23.889999,23.950001,23.650000,23.770000,19.790190,5025000
2016-07-29,23.780001,23.969999,23.750000,23.920000,19.915073,5192600
2016-08-01,23.889999,24.010000,23.629999,23.670000,19.706932,3536600
2016-08-02,23.620001,23.670000,23.360001,23.469999,19.540421,5490100
2016-08-03,23.459999,23.590000,23.290001,23.500000,19.565393,2869200
2016-08-04,23.520000,23.670000,23.440001,23.600000,19.648653,5560400
2016-08-05,23.600000,23.600000,22.180000,22.670000,18.874359,12014600
2016-08-08,22.600000,22.860001,22.510000,22.709999,18.907663,17377800
2016-08-09,22.680000,22.870001,22.639999,22.700001,18.899340,6491900
2016-08-10,22.719999,22.870001,22.549999,22.660000,18.866034,4436500
2016-08-11,22.670000,22.700001,22.500000,22.700001,18.899340,6784800
2016-08-12,22.500000,22.730000,22.469999,22.570000,19.007130,3926700
2016-08-15,22.620001,22.740000,22.430000,22.450001,18.906075,5462300
2016-08-16,22.450001,22.450001,22.020000,22.129999,18.636583,7132000
2016-08-17,22.049999,22.670000,21.969999,22.590000,19.023979,6759800
2016-08-18,22.559999,22.860001,22.490000,22.820000,19.217672,5187300
2016-08-19,22.740000,22.950001,22.629999,22.830000,19.226089,5258700
2016-08-22,22.830000,23.020000,22.770000,22.940001,19.318727,3355600
2016-08-23,23.000000,23.110001,22.840000,22.850000,19.242928,2243700
2016-08-24,22.809999,22.860001,22.650000,22.760000,19.167139,4070100
2016-08-25,22.780001,22.830000,22.650000,22.709999,19.125031,1842700
2016-08-26,22.790001,22.900000,22.290001,22.320000,18.796595,2242400
2016-08-29,22.360001,22.709999,22.360001,22.670000,19.091347,2742100
2016-08-30,22.639999,22.700001,22.430000,22.469999,18.922915,1723600
2016-08-31,22.469999,22.559999,22.330000,22.469999,18.922915,2325900
2016-09-01,22.410000,22.549999,22.330000,22.440001,18.897655,2641800
2016-09-02,22.459999,22.809999,22.420000,22.629999,19.057663,3180800
2016-09-06,22.780001,22.959999,22.680000,22.799999,19.200821,5097300
2016-09-07,22.780001,23.360001,22.700001,23.290001,19.613474,5334100
2016-09-08,23.250000,23.660000,23.219999,23.639999,19.908220,3992500
2016-09-09,23.360001,23.400000,22.610001,22.610001,19.040819,5075000
2016-09-12,22.510000,23.020000,22.379999,22.950001,19.327145,4185100
2016-09-13,22.860001,22.870001,22.320000,22.440001,18.897655,3604300
2016-09-14,22.510000,22.680000,22.270000,22.430000,18.889235,2932000
2016-09-15,22.430000,22.709999,22.379999,22.650000,19.074503,2497000
2016-09-16,22.629999,23.100000,22.510000,23.049999,19.411358,5743400
2016-09-19,23.139999,23.320000,23.049999,23.299999,19.621893,2063100
2016-09-20,23.450001,23.580000,23.410000,23.469999,19.765064,2934700
2016-09-21,23.500000,24.080000,23.450001,24.020000,20.228237,3073500
2016-09-22,24.200001,24.389999,24.040001,24.110001,20.304029,3959700
2016-09-23,24.059999,24.230000,24.010000,24.190001,20.371407,3008600
2016-09-26,24.219999,24.370001,24.129999,24.260000,20.430349,1913200
