Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,34.259998,34.299999,33.470001,33.950001,31.746004,5109600
2015-06-11,34.049999,34.200001,33.820000,33.970001,31.764709,3646700
2015-06-12,33.759998,33.900002,33.669998,33.799999,31.605738,4498700
2015-06-15,33.650002,34.070000,33.549999,33.900002,31.699245,2376400
2015-06-16,33.880001,34.160000,33.740002,34.090000,31.876909,2783200
2015-06-17,34.349998,34.480000,33.790001,34.110001,31.895618,2992000
2015-06-18,34.220001,34.470001,33.459999,33.580002,31.400021,6224100
2015-06-19,33.389999,33.610001,33.080002,33.110001,30.960529,6293600
2015-06-22,33.240002,33.360001,32.849998,33.209999,31.054035,4675800
2015-06-23,33.130001,33.230000,32.560001,32.619999,30.502342,6428600
2015-06-24,32.599998,33.029999,32.250000,32.320000,30.221811,4798700
2015-06-25,32.340000,32.349998,31.740000,31.910000,29.838434,4731500
2015-06-26,31.799999,32.110001,31.750000,31.980000,29.903885,4370800
2015-06-29,31.670000,31.990000,31.459999,31.469999,29.426996,3323000
2015-06-30,31.639999,31.760000,31.270000,31.540001,29.492458,5692700
2015-07-01,31.510000,31.680000,30.770000,31.000000,28.987511,4527200
2015-07-02,31.240000,31.410000,30.980000,31.030001,29.015562,2823300
2015-07-06,30.389999,30.889999,30.370001,30.600000,28.613478,3970700
2015-07-07,30.370001,30.610001,30.000000,30.510000,28.529318,3876900
2015-07-08,30.340000,30.459999,29.520000,29.590000,27.669048,4177300
2015-07-09,30.080000,30.110001,29.580000,29.580000,27.659698,3975000
2015-07-10,29.799999,29.969999,29.299999,29.299999,27.397877,3721000
2015-07-13,29.490000,29.799999,29.170000,29.730000,27.799961,3987400
2015-07-14,30.379999,30.379999,29.690001,29.900000,27.958927,4199900
2015-07-15,29.700001,29.940001,29.270000,29.410000,27.500732,4135100
2015-07-16,29.549999,29.809999,29.389999,29.510000,27.594244,3262800
2015-07-17,29.430000,29.650000,28.980000,29.010000,27.126701,4237500
2015-07-20,28.750000,29.010000,28.420000,28.690001,26.827475,5173500
2015-07-21,28.900000,29.139999,28.330000,28.440001,26.593706,6854300
2015-07-22,28.270000,28.450001,27.740000,27.910000,26.098110,6632900
2015-07-23,27.870001,28.120001,26.680000,27.600000,25.808239,10888600
2015-07-24,25.510000,27.240000,25.500000,26.500000,24.779648,10313200
2015-07-27,25.889999,27.230000,25.760000,26.440001,24.723539,11266900
2015-07-28,26.469999,27.330000,26.070000,26.799999,25.060169,9116200
2015-07-29,26.570000,27.230000,26.219999,26.400000,24.686140,8927000
2015-07-30,26.370001,26.620001,25.900000,26.020000,24.330811,5292200
2015-07-31,25.870001,26.600000,25.790001,26.160000,24.461720,6051200
2015-08-03,25.750000,26.080000,25.490000,25.540001,23.900238,4836100
2015-08-04,25.940001,26.010000,25.379999,25.500000,23.862808,3095800
2015-08-05,25.830000,26.100000,25.129999,25.320000,23.694370,3672700
2015-08-06,25.250000,25.600000,24.850000,25.410000,23.778587,8149900
2015-08-07,25.230000,25.709999,24.820000,24.900000,23.301334,4085100
2015-08-10,25.090000,25.850000,24.920000,25.840000,24.180975,4996300
2015-08-11,25.160000,26.110001,25.129999,26.070000,24.396215,5119600
2015-08-12,26.080000,27.090000,26.030001,27.020000,25.285219,6010500
2015-08-13,26.719999,27.120001,26.530001,26.969999,25.238428,8334900
2015-08-14,27.000000,27.240000,26.889999,26.980000,25.247787,5631000
2015-08-17,26.809999,27.170000,26.600000,26.780001,25.060629,5763400
2015-08-18,26.570000,26.850000,26.360001,26.620001,24.910904,2780600
2015-08-19,26.450001,26.580000,25.690001,25.820000,24.162262,3603000
2015-08-20,25.750000,25.850000,24.850000,24.860001,23.263903,5496500
2015-08-21,24.809999,25.049999,24.320000,24.389999,22.824076,4827900
2015-08-24,23.090000,23.299999,21.870001,22.000000,20.587517,16069300
2015-08-25,22.950001,23.110001,21.270000,21.299999,19.932463,11696200
2015-08-26,21.760000,21.809999,20.940001,21.670000,20.278713,19090100
2015-08-27,22.170000,23.100000,21.290001,23.080000,21.598185,12896900
2015-08-28,23.010000,23.719999,22.879999,23.299999,21.804062,5872900
