Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,258.459991,262.179993,257.630005,260.369995,223.455750,482300
2015-06-11,261.010010,262.510010,260.679993,260.929993,223.936310,313500
2015-06-12,259.920013,261.809998,259.070007,260.720001,223.756134,458100
2015-06-15,258.100006,260.649994,255.759995,255.860001,219.585159,555800
2015-06-16,252.800003,257.790009,252.619995,255.699997,219.447830,817300
2015-06-17,257.950012,258.220001,255.690002,257.119995,220.666504,794900
2015-06-18,257.730011,261.859985,256.089996,261.350006,224.296783,1183600
2015-06-19,261.339996,263.190002,260.040009,262.790009,225.532639,2106400
2015-06-22,264.070007,264.980011,259.660004,260.040009,223.172546,448200
2015-06-23,259.899994,261.029999,258.549988,259.260010,222.503128,525500
2015-06-24,259.010010,260.089996,254.910004,256.109985,219.799683,451600
2015-06-25,255.899994,257.480011,255.259995,256.589996,220.211639,517200
2015-06-26,256.529999,258.890015,254.809998,258.869995,222.168365,775000
2015-06-29,256.660004,257.000000,249.990005,250.330002,214.839157,800900
2015-06-30,251.589996,255.169998,249.960007,254.000000,217.988861,699600
2015-07-01,255.539993,256.149994,253.139999,255.639999,219.396332,466300
2015-07-02,256.140015,257.209991,253.809998,255.339996,219.138870,349500
2015-07-06,253.139999,256.209991,251.449997,255.509995,219.284775,543600
2015-07-07,255.509995,258.820007,253.000000,257.500000,220.992630,817500
2015-07-08,257.000000,259.619995,256.170013,256.350006,220.005676,520500
2015-07-09,258.640015,260.200012,255.949997,256.679993,220.288895,518200
2015-07-10,260.040009,261.660004,257.829987,258.779999,222.091171,544900
2015-07-13,260.179993,262.519989,258.850006,259.940002,223.086700,435300
2015-07-14,260.100006,262.470001,259.390015,261.070007,224.056503,361500
2015-07-15,261.100006,263.390015,258.750000,259.799988,222.966522,378600
2015-07-16,261.459991,263.670013,260.019989,262.119995,224.957626,484100
2015-07-17,261.670013,263.869995,260.049988,263.500000,226.141937,438600
2015-07-20,263.940002,270.559998,263.070007,270.239990,231.926392,678700
2015-07-21,270.239990,272.320007,268.640015,268.839996,230.724899,474200
2015-07-22,268.549988,271.589996,267.670013,269.549988,231.334198,461700
2015-07-23,269.320007,273.049988,267.720001,269.390015,231.196884,538700
2015-07-24,268.299988,276.119995,267.380005,276.059998,236.921249,653400
2015-07-27,274.850006,277.540009,271.350006,276.640015,237.419052,748800
2015-07-28,278.940002,281.359985,275.519989,279.200012,239.616089,993100
2015-07-29,278.970001,280.500000,276.869995,279.220001,239.633255,714100
2015-07-30,281.399994,288.119995,280.059998,282.579987,242.516846,821300
2015-07-31,283.670013,284.149994,278.679993,278.910004,239.367249,523800
2015-08-03,279.769989,284.269989,277.690002,282.890015,242.782913,642400
2015-08-04,281.989990,284.260010,279.549988,280.040009,240.337006,419900
2015-08-05,281.589996,283.609985,279.429993,280.450012,240.688919,478100
2015-08-06,281.040009,281.049988,274.660004,280.000000,240.302689,520800
2015-08-07,279.970001,280.739990,273.019989,280.390015,240.637405,309600
2015-08-10,282.890015,283.440002,278.000000,280.089996,240.379913,996600
2015-08-11,278.429993,282.489990,276.970001,279.429993,239.813477,550600
2015-08-12,277.440002,281.579987,275.230011,280.350006,240.603058,697400
2015-08-13,283.970001,284.260010,278.839996,282.230011,242.216537,539300
2015-08-14,285.109985,287.779999,281.890015,284.399994,244.078857,980100
2015-08-17,282.829987,284.570007,281.089996,284.510010,244.173248,404500
2015-08-18,284.440002,287.750000,283.470001,287.420013,246.670700,405200
2015-08-19,286.130005,288.500000,283.980011,285.589996,245.100159,494200
2015-08-20,284.220001,284.649994,279.920013,279.959991,240.268326,568700
2015-08-21,277.160004,279.790009,271.309998,271.309998,232.844711,1271900
2015-08-24,260.000000,267.089996,251.000000,255.529999,220.676575,1306700
2015-08-25,260.309998,263.670013,250.860001,251.110001,216.859406,1294200
2015-08-26,257.019989,261.809998,252.029999,260.799988,225.227707,1077000
2015-08-27,262.089996,268.179993,261.519989,266.140015,229.839401,704700
2015-08-28,264.709991,270.000000,264.489990,268.779999,232.119278,588600
2015-08-31,267.519989,270.100006,265.000000,269.769989,232.974243,4911600
2015-09-01,265.089996,266.769989,260.429993,262.869995,227.015411,1298200
2015-09-02,264.989990,269.980011,263.619995,269.950012,233.129730,1049100
2015-09-03,269.510010,275.179993,269.410004,274.440002,237.007339,1006000
2015-09-04,272.820007,273.230011,268.070007,269.880005,233.069214,824700
2015-09-08,271.220001,279.750000,270.260010,279.279999,241.187088,850000
2015-09-09,282.359985,283.720001,280.510010,281.000000,242.672501,884500
2015-09-10,279.720001,287.910004,279.119995,285.140015,246.247910,1220500
2015-09-11,284.570007,289.619995,283.160004,289.619995,250.116745,1095900
2015-09-14,289.869995,291.619995,287.149994,289.700012,250.185867,1071400
2015-09-15,290.750000,291.709991,288.320007,290.049988,250.488098,784900
2015-09-16,289.510010,291.160004,286.399994,290.570007,250.937149,674000
2015-09-17,290.640015,294.489990,288.480011,290.070007,250.505447,899200
2015-09-18,285.890015,294.459991,283.290009,285.510010,246.567337,1469800
2015-09-21,287.519989,292.459991,286.209991,292.019989,252.189392,596500
2015-09-22,285.799988,289.869995,285.799988,288.450012,249.106430,622400
2015-09-23,287.450012,289.809998,284.579987,288.890015,249.486328,526900
2015-09-24,287.709991,289.829987,279.059998,279.670013,241.523911,841500
2015-09-25,284.170013,285.440002,277.600006,279.299988,241.204391,1018800
2015-09-28,279.000000,284.609985,269.670013,270.489990,233.596069,959800
2015-09-29,271.500000,271.500000,268.119995,268.980011,232.292038,1202800
2015-09-30,270.450012,273.890015,269.130005,273.399994,236.109116,802100
2015-10-01,274.859985,276.739990,271.700012,276.459991,238.751770,828100
2015-10-02,271.980011,279.670013,270.000000,279.579987,241.446152,536200
2015-10-05,281.250000,285.000000,279.899994,283.440002,244.779694,636600
2015-10-06,272.959991,278.000000,270.070007,271.549988,243.935257,743000
2015-10-07,273.459991,273.480011,263.200012,265.410004,238.419662,1031700
2015-10-08,265.130005,267.679993,262.600006,267.339996,240.153397,766300
2015-10-09,267.089996,270.609985,265.579987,269.880005,242.435089,749000
2015-10-12,269.410004,273.279999,269.410004,272.559998,244.842606,510000
2015-10-13,270.929993,273.399994,269.329987,271.700012,244.069977,555000
2015-10-14,271.079987,275.750000,269.730011,274.700012,246.764969,723100
2015-10-15,275.450012,280.399994,270.000000,280.100006,251.615829,755200
2015-10-16,281.200012,286.559998,276.269989,286.299988,257.185364,569200
2015-10-19,284.970001,291.269989,283.959991,290.709991,261.146820,840100
2015-10-20,290.880005,293.899994,289.750000,293.359985,263.527374,646800
2015-10-21,294.730011,296.690002,291.890015,292.279999,262.557220,818100
2015-10-22,292.589996,296.390015,292.329987,294.619995,264.659210,1297300
2015-10-23,297.579987,297.579987,292.000000,294.839996,264.856842,974000
2015-10-26,295.269989,301.769989,294.279999,301.200012,270.570068,894300
2015-10-27,300.079987,300.739990,295.450012,296.089996,265.979828,846600
2015-10-28,296.799988,297.850006,290.369995,294.589996,264.632355,1290800
2015-10-29,291.309998,301.679993,285.739990,292.910004,263.123138,1197500
2015-10-30,293.619995,298.359985,291.000000,296.679993,266.509766,690600
2015-11-02,297.769989,304.730011,297.329987,303.579987,272.708069,679800
2015-11-03,302.690002,303.570007,297.410004,299.309998,268.872314,609000
2015-11-04,299.339996,302.320007,292.920013,295.989990,265.889832,622500
2015-11-05,295.609985,297.089996,291.250000,295.799988,265.719238,485100
2015-11-06,295.420013,298.000000,287.000000,290.369995,260.841431,853500
2015-11-09,291.010010,293.940002,287.130005,292.399994,262.665070,869300
2015-11-10,292.380005,297.700012,290.559998,297.540009,267.282410,789500
2015-11-11,299.799988,301.549988,296.019989,296.920013,266.725403,588800
2015-11-12,296.220001,298.160004,294.619995,294.739990,264.766998,432500
2015-11-13,294.679993,296.000000,290.130005,291.070007,261.470215,659300
2015-11-16,290.089996,295.540009,290.000000,295.390015,265.351013,531500
2015-11-17,293.239990,302.760010,291.980011,299.070007,268.656769,876300
2015-11-18,298.959991,298.959991,287.510010,293.089996,263.284882,1114200
2015-11-19,287.750000,288.500000,282.799988,286.109985,257.014648,2297300
2015-11-20,286.890015,298.600006,286.299988,298.600006,268.234528,1885300
2015-11-23,297.760010,300.799988,295.040009,297.730011,267.453033,640500
2015-11-24,296.690002,298.170013,293.130005,293.209991,263.392639,599400
2015-11-25,293.829987,296.510010,292.140015,295.130005,265.117340,357200
2015-11-27,295.010010,298.329987,293.600006,297.750000,267.470917,226700
2015-11-30,297.750000,298.980011,292.739990,296.500000,266.348022,679500
2015-12-01,297.700012,300.809998,296.500000,300.630005,270.058075,489000
2015-12-02,300.769989,303.140015,299.250000,299.660004,269.186646,518800
2015-12-03,298.369995,300.000000,293.899994,295.220001,265.198212,683800
2015-12-04,296.220001,301.760010,291.950012,301.200012,270.570068,838100
2015-12-07,302.410004,302.410004,296.600006,297.579987,268.826538,538200
2015-12-08,295.519989,301.100006,295.149994,298.100006,269.296295,690200
2015-12-09,297.690002,300.649994,295.369995,298.239990,269.422821,671900
2015-12-10,297.839996,299.339996,293.940002,295.649994,267.083069,700000
2015-12-11,292.589996,295.239990,287.299988,289.940002,261.924805,809700
2015-12-14,290.790009,298.690002,290.230011,293.549988,265.186005,1172100
2015-12-15,294.670013,295.170013,289.920013,290.019989,261.997009,1006400
2015-12-16,290.880005,296.570007,290.119995,295.489990,266.938446,1140900
2015-12-17,296.209991,297.339996,292.440002,293.410004,265.059540,682000
2015-12-18,292.200012,294.790009,289.350006,289.350006,261.391724,2005000
2015-12-21,291.070007,296.130005,289.220001,295.739990,267.164368,881300
2015-12-22,295.989990,298.529999,292.600006,296.929993,268.239349,583500
2015-12-23,297.929993,297.929993,292.850006,297.350006,268.618774,542100
2015-12-24,296.989990,298.450012,295.910004,297.190002,268.474243,206700
2015-12-28,296.559998,301.549988,295.290009,300.910004,271.834869,338400
2015-12-29,305.000000,305.000000,301.950012,304.980011,275.511566,416200
2015-12-30,303.440002,304.829987,302.200012,302.690002,273.442810,321000
2015-12-31,302.489990,304.369995,299.600006,302.399994,273.180817,404300
2016-01-04,299.750000,300.600006,293.250000,296.079987,267.471466,879600
2016-01-05,297.980011,304.529999,294.170013,303.410004,274.093292,1440300
2016-01-06,299.640015,310.279999,298.880005,309.130005,279.260559,1147500
2016-01-07,304.730011,306.700012,302.250000,303.290009,273.984863,1151900
2016-01-08,304.600006,312.290009,304.320007,309.790009,279.856903,1462700
2016-01-11,311.739990,318.359985,309.359985,312.880005,282.648285,1605900
2016-01-12,314.760010,316.000000,309.829987,314.920013,284.491180,860600
2016-01-13,314.239990,316.200012,304.690002,305.579987,276.053619,1222900
2016-01-14,306.070007,315.500000,297.290009,310.989990,280.940796,3697900
2016-01-15,305.010010,309.970001,299.799988,303.190002,273.894501,1256300
2016-01-19,308.500000,308.940002,289.720001,295.109985,266.595184,1831600
2016-01-20,290.839996,297.250000,281.850006,294.359985,265.917694,1383600
2016-01-21,294.290009,295.350006,287.309998,289.779999,261.780243,860400
2016-01-22,293.700012,298.549988,291.359985,297.049988,268.347717,1268800
2016-01-25,296.260010,306.309998,295.779999,299.929993,270.949493,1369700
2016-01-26,304.179993,305.989990,299.880005,303.640015,274.301117,1045200
2016-01-27,304.239990,307.959991,297.019989,299.570007,270.624329,1089600
2016-01-28,301.250000,309.959991,295.510010,300.220001,271.211517,1032400
2016-01-29,301.329987,310.829987,300.010010,310.570007,280.561462,1145300
2016-02-01,310.049988,315.809998,308.880005,311.440002,281.347412,812200
2016-02-02,307.929993,313.869995,307.260010,312.589996,282.386261,1013500
2016-02-03,313.500000,314.880005,304.339996,309.540009,279.630951,1268100
2016-02-04,312.170013,314.079987,305.359985,308.450012,278.646362,1032900
2016-02-05,306.910004,307.339996,288.109985,288.440002,260.569824,1390300
2016-02-08,285.880005,286.000000,261.809998,268.839996,242.863541,1850300
2016-02-09,268.690002,269.989990,255.449997,265.049988,239.439774,2097000
2016-02-10,268.049988,278.279999,266.290009,273.339996,246.928741,1498100
2016-02-11,265.399994,279.290009,265.399994,275.049988,248.473480,978600
2016-02-12,279.540009,285.170013,276.559998,284.880005,257.353668,1081600
2016-02-16,285.820007,291.679993,284.440002,291.299988,263.153351,1304600
2016-02-17,291.299988,296.429993,285.950012,290.649994,262.566193,1320100
2016-02-18,288.019989,293.670013,286.950012,290.309998,262.259033,1178300
2016-02-19,287.899994,304.130005,284.760010,299.369995,270.443634,2163900
2016-02-22,302.170013,304.829987,298.170013,299.829987,270.859192,940900
2016-02-23,298.850006,299.899994,290.619995,292.059998,263.839935,969900
2016-02-24,290.589996,296.609985,287.690002,295.010010,266.504913,1078300
2016-02-25,296.230011,307.619995,296.230011,307.489990,277.778961,999000
2016-02-26,306.489990,315.059998,303.660004,306.769989,277.128662,897300
2016-02-29,305.309998,308.769989,302.950012,303.690002,274.346222,1007800
2016-03-01,306.239990,308.570007,303.019989,308.399994,278.601074,1335000
2016-03-02,307.709991,308.000000,299.299988,304.010010,274.635223,1016300
2016-03-03,302.779999,310.809998,301.700012,310.589996,280.579498,1113100
2016-03-04,310.589996,311.440002,303.500000,309.720001,279.793549,1008400
2016-03-07,305.890015,308.019989,294.049988,297.730011,270.490417,1079800
2016-03-08,295.839996,303.720001,295.369995,298.750000,271.417175,872500
2016-03-09,299.920013,303.700012,299.290009,301.260010,273.697449,674900
2016-03-10,303.459991,307.600006,301.299988,306.709991,278.648773,811400
2016-03-11,310.000000,319.359985,308.660004,318.000000,288.905945,983600
2016-03-14,313.769989,315.670013,309.369995,314.019989,285.290070,836800
2016-03-15,311.260010,315.609985,311.260010,312.470001,283.881805,850800
2016-03-16,310.279999,318.320007,310.279999,316.760010,287.779388,671300
2016-03-17,316.589996,321.450012,315.070007,316.980011,287.979248,1008900
2016-03-18,317.500000,318.290009,314.200012,315.760010,286.870819,1049200
2016-03-21,314.760010,319.000000,311.950012,317.390015,288.351715,619900
2016-03-22,315.649994,320.450012,315.309998,319.040009,289.850769,528300
2016-03-23,319.309998,320.489990,317.720001,319.359985,290.141449,456900
2016-03-24,317.959991,323.000000,317.799988,320.750000,291.404327,547800
2016-03-28,321.700012,324.970001,320.690002,323.769989,294.147949,389700
2016-03-29,322.769989,329.410004,322.769989,329.339996,299.208435,515300
2016-03-30,330.290009,331.670013,327.790009,328.109985,298.090973,534700
2016-03-31,327.540009,331.799988,326.959991,330.709991,300.453094,819300
2016-04-01,328.309998,332.200012,327.709991,329.940002,299.753510,499900
2016-04-04,331.950012,334.179993,330.339996,333.109985,302.633392,515200
2016-04-05,330.000000,333.209991,328.239990,328.640015,298.572449,427200
2016-04-06,328.010010,329.700012,326.160004,327.410004,297.454987,735900
2016-04-07,325.600006,326.950012,323.119995,325.809998,296.001312,573600
2016-04-08,328.720001,329.720001,322.920013,325.989990,296.164856,554800
2016-04-11,327.959991,328.000000,323.459991,323.989990,294.347870,608500
2016-04-12,326.200012,326.200012,321.209991,322.130005,292.658051,663000
2016-04-13,322.399994,322.399994,318.410004,321.549988,292.131104,520000
2016-04-14,320.779999,322.190002,318.600006,320.750000,291.404327,357200
2016-04-15,320.500000,325.320007,319.640015,324.100006,294.447845,480400
2016-04-18,323.010010,326.010010,322.230011,325.589996,295.801483,303500
2016-04-19,327.209991,327.880005,321.679993,324.859985,295.138275,318600
2016-04-20,325.070007,326.959991,322.339996,325.109985,295.365448,464200
2016-04-21,324.230011,329.320007,318.070007,319.890015,290.622986,695500
2016-04-22,320.140015,322.920013,316.299988,322.010010,292.549011,395300
2016-04-25,321.540009,326.850006,320.160004,326.820007,296.919037,373300
2016-04-26,326.570007,333.450012,325.570007,330.109985,299.907959,653000
2016-04-27,330.049988,334.570007,326.250000,331.820007,301.461456,623700
2016-04-28,330.769989,334.619995,327.190002,328.239990,298.209045,471500
2016-04-29,327.170013,331.839996,324.690002,330.350006,300.126038,465500
2016-05-02,331.100006,333.850006,329.500000,333.619995,303.096924,395000
2016-05-03,332.450012,333.489990,328.260010,332.890015,302.433655,625700
2016-05-04,330.820007,337.119995,330.019989,334.829987,304.196136,1049800
2016-05-05,334.260010,336.910004,326.950012,330.890015,300.616608,1010800
2016-05-06,328.809998,337.790009,326.559998,336.959991,306.131287,820200
2016-05-09,336.899994,343.470001,335.540009,341.040009,309.837952,529000
2016-05-10,341.929993,342.980011,339.559998,341.109985,309.901489,435300
2016-05-11,341.570007,343.380005,337.839996,340.679993,309.510895,584300
2016-05-12,342.600006,346.980011,338.829987,346.209991,314.534943,491400
2016-05-13,346.200012,347.630005,343.179993,344.369995,312.863251,354100
2016-05-16,344.910004,348.750000,343.510010,348.600006,316.706238,414100
2016-05-17,345.000000,348.299988,341.450012,342.320007,311.000854,462900
2016-05-18,342.029999,344.850006,336.600006,342.049988,310.755554,550000
