Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,34.459999,34.770000,34.349998,34.610001,28.735397,3126800
2015-06-11,34.840000,35.230000,34.779999,35.160000,29.192045,2053500
2015-06-12,35.049999,35.090000,34.740002,34.770000,28.868246,1104600
2015-06-15,34.709999,34.810001,34.419998,34.619999,28.743704,1006100
2015-06-16,34.590000,34.869999,34.410000,34.700001,28.810131,1011600
2015-06-17,34.680000,35.000000,34.590000,34.889999,28.967873,1102200
2015-06-18,34.980000,35.630001,34.919998,35.470001,29.449427,1341700
2015-06-19,35.520000,35.700001,35.299999,35.490002,29.466028,1725600
2015-06-22,35.630001,35.630001,35.270000,35.349998,29.349787,1109700
2015-06-23,35.310001,35.419998,34.700001,34.770000,28.868246,781800
2015-06-24,34.860001,34.910000,34.430000,34.430000,28.585951,635400
2015-06-25,34.400002,34.410000,34.049999,34.110001,28.320271,883000
2015-06-26,33.970001,34.439999,33.880001,34.380001,28.544439,925600
2015-06-29,34.369999,34.799999,34.230000,34.250000,28.436506,664900
2015-06-30,34.400002,34.450001,34.130001,34.220001,28.411600,732800
2015-07-01,34.310001,34.759998,34.169998,34.700001,28.810131,1494200
2015-07-02,34.970001,35.369999,34.820000,35.320000,29.324883,1455900
2015-07-06,35.310001,35.549999,35.110001,35.459999,29.441118,1054400
2015-07-07,35.549999,36.529999,35.500000,36.310001,30.146854,1313100
2015-07-08,36.169998,36.610001,36.110001,36.310001,30.146854,1211900
2015-07-09,36.410000,36.500000,35.810001,36.099998,29.972488,1408300
2015-07-10,36.080002,36.889999,36.009998,36.560001,30.354414,2319400
2015-07-13,36.669998,36.820000,36.020000,36.169998,30.030611,974400
2015-07-14,36.230000,36.480000,35.889999,35.930000,29.831345,1161300
2015-07-15,35.919998,36.029999,35.730000,36.009998,29.897766,846500
2015-07-16,36.090000,36.599998,36.009998,36.549999,30.346115,944400
2015-07-17,36.439999,36.540001,36.230000,36.299999,30.138538,912700
2015-07-20,36.250000,36.270000,35.770000,35.990002,29.881163,579900
2015-07-21,35.910000,36.099998,35.400002,35.580002,29.540760,931900
2015-07-22,35.599998,36.060001,35.599998,35.820000,29.740013,724300
2015-07-23,35.750000,35.860001,35.060001,35.509998,29.482641,1291900
2015-07-24,35.470001,35.680000,35.410000,35.560001,29.524147,1215400
2015-07-27,35.570000,36.310001,35.570000,36.180000,30.038910,604300
2015-07-28,35.990002,36.480000,35.880001,36.470001,30.279686,1249400
2015-07-29,36.189999,36.959999,36.139999,36.900002,30.636707,1264800
2015-07-30,36.820000,37.459999,36.680000,37.310001,30.977114,1240500
2015-07-31,37.689999,37.980000,37.400002,37.650002,31.259392,1348900
2015-08-03,37.730000,37.990002,37.570000,37.770000,31.359030,791300
2015-08-04,37.630001,37.700001,37.200001,37.290001,30.960506,766200
2015-08-05,37.230000,37.709999,37.130001,37.230000,30.910679,1259900
2015-08-06,37.220001,37.349998,36.799999,37.220001,30.902386,1629200
2015-08-07,37.180000,38.209999,36.990002,37.990002,31.541679,1787500
2015-08-10,37.930000,38.380001,37.770000,37.790001,31.375639,1181700
2015-08-11,37.820000,38.529999,37.759998,38.299999,31.799067,1441700
2015-08-12,38.279999,39.009998,38.189999,38.860001,32.264011,1303500
2015-08-13,38.619999,39.360001,38.419998,39.240002,32.579521,1664300
2015-08-14,39.119999,39.830002,39.099998,39.740002,32.994656,2663100
2015-08-17,39.730000,40.220001,39.529999,39.869999,33.102581,1437700
2015-08-18,39.790001,40.070000,39.470001,39.529999,32.820297,1082800
2015-08-19,39.400002,39.709999,39.139999,39.570000,32.853504,1021700
2015-08-20,39.410000,39.740002,39.200001,39.240002,32.579521,846300
2015-08-21,38.970001,39.290001,38.680000,38.680000,32.114574,1289200
2015-08-24,37.669998,37.849998,36.959999,37.150002,30.844265,1701800
2015-08-25,37.529999,37.630001,35.919998,35.939999,29.839647,1453600
2015-08-26,36.220001,36.770000,35.740002,36.680000,30.454050,1491800
2015-08-27,36.849998,37.180000,36.470001,37.169998,30.860870,1063300
2015-08-28,37.200001,37.279999,36.590000,37.080002,30.786158,841100
2015-08-31,36.910000,36.910000,36.130001,36.549999,30.346115,1512900
2015-09-01,36.320000,36.340000,35.330002,35.490002,29.466028,1030900
2015-09-02,35.810001,35.930000,35.200001,35.590000,29.549051,922900
2015-09-03,35.660000,36.060001,35.599998,35.900002,29.806444,898600
2015-09-04,35.439999,35.580002,34.900002,35.049999,29.395487,907000
2015-09-08,35.430000,36.000000,35.430000,35.939999,30.141905,1271700
2015-09-09,36.070000,36.169998,35.509998,35.549999,29.814821,905200
2015-09-10,35.500000,36.029999,35.450001,35.549999,29.814821,949700
2015-09-11,35.419998,36.180000,35.360001,36.169998,30.334801,975000
2015-09-14,36.240002,36.439999,36.000000,36.029999,30.217388,670400
2015-09-15,36.040001,36.250000,35.810001,36.189999,30.351580,726400
2015-09-16,36.250000,36.740002,36.009998,36.669998,30.754139,707000
2015-09-17,36.599998,37.689999,36.480000,37.270000,31.257349,991900
2015-09-18,36.849998,37.450001,36.810001,37.070000,31.089607,1534600
2015-09-21,37.209999,37.529999,37.080002,37.230000,31.223795,662600
2015-09-22,37.040001,37.310001,36.790001,36.939999,30.980579,576700
2015-09-23,36.930000,37.340000,36.919998,37.310001,31.290894,599800
2015-09-24,37.200001,37.740002,37.029999,37.590000,31.525723,1156500
2015-09-25,37.669998,38.529999,37.470001,38.080002,31.936659,1290800
2015-09-28,38.070000,38.270000,37.700001,37.869999,31.760540,984800
2015-09-29,37.880001,38.110001,37.610001,37.880001,31.768930,815400
2015-09-30,38.060001,38.490002,37.869999,38.439999,32.238590,1010300
2015-10-01,38.450001,38.480000,37.549999,37.799999,31.701841,1218000
2015-10-02,38.150002,38.220001,37.590000,38.160000,32.003769,1022900
2015-10-05,38.470001,38.599998,38.029999,38.529999,32.314072,876300
2015-10-06,38.410000,38.459999,37.840000,38.169998,32.012142,908800
2015-10-07,38.200001,38.340000,37.930000,38.330002,32.146339,1269300
2015-10-08,38.310001,39.189999,38.080002,39.099998,32.792114,1125400
2015-10-09,39.099998,39.240002,38.900002,39.099998,32.792114,1061300
2015-10-12,39.200001,39.750000,39.180000,39.590000,33.203056,956000
2015-10-13,39.549999,39.919998,39.279999,39.849998,33.421112,1230000
2015-10-14,39.919998,40.119999,39.509998,39.570000,33.186298,916600
2015-10-15,39.660000,40.090000,39.360001,40.070000,33.605625,828500
2015-10-16,40.189999,40.290001,39.820000,40.080002,33.614017,921800
2015-10-19,39.939999,40.180000,39.650002,40.180000,33.697880,915500
2015-10-20,40.049999,40.500000,39.900002,40.410000,33.890781,673100
2015-10-21,40.599998,40.849998,40.259998,40.450001,33.924324,764400
2015-10-22,40.520000,41.299999,40.490002,41.299999,34.637196,1564500
2015-10-23,41.180000,41.299999,40.169998,40.230000,33.739819,1067900
2015-10-26,40.209999,40.750000,39.880001,40.740002,34.167534,932000
2015-10-27,40.689999,40.939999,40.459999,40.660000,34.100452,656000
2015-10-28,40.660000,40.840000,39.400002,39.900002,33.463055,1171300
2015-10-29,39.869999,39.889999,39.049999,39.639999,33.244999,824300
2015-10-30,39.740002,39.990002,39.580002,39.700001,33.295322,933500
2015-11-02,39.680000,39.869999,39.389999,39.680000,33.278542,952300
2015-11-03,39.500000,39.669998,39.080002,39.509998,33.135963,1142500
2015-11-04,39.459999,40.869999,39.299999,40.740002,34.167534,2179300
2015-11-05,40.700001,40.980000,40.500000,40.509998,33.974640,1488600
2015-11-06,40.200001,40.290001,38.509998,38.880001,32.607609,1386900
2015-11-09,38.799999,39.419998,38.619999,39.290001,32.951462,1359100
2015-11-10,39.389999,40.779999,39.259998,40.750000,34.175930,1664700
2015-11-11,40.860001,41.720001,40.790001,41.520000,34.821705,1435600
2015-11-12,41.490002,42.000000,40.799999,40.810001,34.226246,1279800
2015-11-13,40.830002,41.330002,40.220001,40.320000,33.815289,961500
2015-11-16,40.320000,41.570000,40.250000,41.549999,34.846867,926400
2015-11-17,41.480000,41.810001,40.930000,41.040001,34.419132,729500
2015-11-18,41.029999,41.810001,40.700001,41.759998,35.022984,867100
2015-11-19,41.860001,42.369999,41.770000,42.369999,35.534576,801700
2015-11-20,42.439999,42.830002,42.330002,42.730000,35.836494,747600
2015-11-23,42.700001,42.959999,42.070000,42.200001,35.392010,1004900
2015-11-24,42.110001,42.200001,41.750000,42.049999,35.266201,1131000
2015-11-25,42.099998,42.259998,41.930000,42.070000,35.282970,987300
2015-11-27,42.169998,42.639999,42.049999,42.430000,35.584896,510800
