Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,54.439999,54.740002,54.110001,54.430000,48.652966,789000
2015-06-11,54.470001,54.599998,54.000000,54.439999,48.661896,618400
2015-06-12,54.270000,54.630001,54.080002,54.259998,48.501007,709700
2015-06-15,53.650002,53.660000,52.939999,53.299999,47.642899,1961700
2015-06-16,53.139999,53.480000,53.000000,53.369999,47.705456,898300
2015-06-17,53.439999,53.660000,53.000000,53.299999,47.642899,1120300
2015-06-18,53.500000,53.860001,53.290001,53.680000,47.982559,1360500
2015-06-19,53.549999,53.849998,53.349998,53.520000,47.839546,3081800
2015-06-22,54.009998,54.639999,53.910000,54.130001,48.384811,1009600
2015-06-23,54.000000,54.380001,53.900002,54.099998,48.357983,708200
2015-06-24,53.759998,54.290001,53.490002,53.680000,48.142738,1171200
2015-06-25,53.599998,53.799999,52.480000,52.639999,47.210011,1044400
2015-06-26,52.480000,52.880001,52.310001,52.380001,46.976833,2536700
2015-06-29,51.880001,51.959999,51.139999,51.189999,45.909599,1019500
2015-06-30,52.500000,53.389999,51.779999,52.660000,47.227966,2643200
2015-07-01,53.009998,53.009998,51.910000,52.070000,46.698826,1403000
2015-07-02,52.310001,52.830002,52.150002,52.430000,47.021683,790600
2015-07-06,51.700001,52.360001,51.209999,51.320000,46.026169,944600
2015-07-07,51.299999,51.480000,50.500000,51.189999,45.909599,1741800
2015-07-08,50.740002,50.849998,49.599998,50.119999,44.949963,2408700
2015-07-09,50.820000,51.299999,50.270000,50.320000,45.129330,1249300
2015-07-10,50.779999,50.919998,49.240002,49.250000,44.169712,1721400
2015-07-13,49.610001,50.209999,49.180000,50.150002,44.976871,1119700
2015-07-14,50.040001,50.549999,49.970001,50.430000,45.227985,705400
2015-07-15,50.230000,50.509998,49.169998,49.450001,44.349087,1346000
2015-07-16,49.959999,50.450001,49.630001,49.869999,44.725758,1085600
2015-07-17,49.639999,50.119999,48.900002,49.220001,44.142811,746600
2015-07-20,49.160000,49.779999,49.130001,49.459999,44.358051,1011700
2015-07-21,49.200001,49.299999,48.080002,48.209999,43.237000,1104500
2015-07-22,48.020000,48.439999,47.889999,47.950001,43.003819,930100
2015-07-23,47.959999,48.040001,47.389999,47.540001,42.636105,1238900
2015-07-24,47.490002,47.529999,46.730000,46.950001,42.106964,1367900
2015-07-27,46.160000,46.230000,45.680000,46.090000,41.335674,2000900
2015-07-28,46.180000,46.570000,45.900002,45.990002,41.245991,1884500
2015-07-29,46.020000,47.119999,45.759998,46.919998,42.080048,2142700
2015-07-30,46.599998,47.090000,46.360001,47.049999,42.196644,1563600
2015-07-31,47.529999,49.650002,46.930000,46.990002,42.142838,2324200
2015-08-03,46.860001,46.910000,45.490002,45.599998,40.896221,1280500
2015-08-04,45.730000,46.340000,45.720001,45.930000,41.192181,1336400
2015-08-05,46.369999,46.990002,46.119999,46.540001,41.739258,1269500
2015-08-06,46.330002,46.980000,46.130001,46.770000,41.945522,1039200
2015-08-07,46.709999,47.410000,46.639999,46.939999,42.097984,1390700
2015-08-10,47.299999,48.860001,47.259998,48.689999,43.667473,1385700
2015-08-11,47.930000,48.290001,47.110001,47.480000,42.582287,1146900
2015-08-12,47.180000,48.240002,46.910000,48.220001,43.245956,1151200
2015-08-13,47.959999,48.220001,47.349998,47.459999,42.564346,1217300
2015-08-14,47.500000,47.959999,47.369999,47.720001,42.797539,725200
2015-08-17,47.520000,47.959999,46.810001,47.639999,42.725784,1165600
