Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,118.160004,119.970001,117.889999,118.750000,108.396111,401000
2015-06-11,118.820000,119.570000,118.099998,118.529999,108.195313,564200
2015-06-12,117.529999,118.410004,117.379997,118.129997,107.830162,291100
2015-06-15,117.099998,117.820000,115.500000,116.699997,106.524857,336200
2015-06-16,116.839996,118.110001,116.339996,116.860001,106.670906,293700
2015-06-17,117.000000,117.980003,116.040001,117.580002,107.328117,285100
2015-06-18,117.690002,118.809998,117.459999,117.980003,107.693260,334300
2015-06-19,117.680000,118.610001,117.430000,117.440002,107.200333,326700
2015-06-22,118.029999,118.120003,116.680000,118.019997,107.729759,262300
2015-06-23,117.889999,119.370003,116.410004,119.300003,108.898170,429000
2015-06-24,119.250000,119.250000,116.180000,116.269997,106.132355,254900
2015-06-25,116.699997,117.080002,115.739998,116.190002,106.059326,239400
2015-06-26,116.190002,116.550003,114.709999,114.839996,104.827034,488200
2015-06-29,113.709999,114.110001,112.250000,112.449997,102.645424,288600
2015-06-30,113.580002,113.580002,111.379997,112.589996,102.773209,476300
2015-07-01,113.570000,114.449997,112.919998,113.790001,103.868584,346200
2015-07-02,114.470001,114.470001,112.430000,113.070000,103.211372,247800
2015-07-06,111.870003,113.790001,111.650002,113.260002,103.384811,318100
2015-07-07,113.449997,114.580002,111.839996,114.320000,104.352379,283900
2015-07-08,113.139999,113.750000,111.300003,111.930000,102.170769,407100
2015-07-09,113.379997,113.970001,112.449997,112.589996,102.773209,156200
2015-07-10,114.000000,114.879997,113.300003,114.169998,104.215439,213600
2015-07-13,115.129997,116.790001,115.129997,116.209999,106.077583,250600
2015-07-14,115.980003,117.349998,115.019997,117.110001,106.899109,283700
2015-07-15,116.839996,117.070000,115.010002,115.739998,105.648560,192200
2015-07-16,116.739998,117.620003,115.620003,117.589996,107.337242,249300
2015-07-17,117.360001,117.639999,116.019997,116.620003,106.451843,188900
2015-07-20,117.099998,117.260002,115.870003,116.169998,106.041084,181900
2015-07-21,116.339996,116.480003,114.449997,115.459999,105.392967,247400
2015-07-22,114.959999,115.150002,113.959999,114.699997,104.699242,232100
2015-07-23,115.019997,116.989998,114.169998,114.839996,104.827034,219900
2015-07-24,114.940002,115.519997,111.720001,112.040001,102.271172,249500
2015-07-27,111.690002,112.550003,110.500000,112.250000,102.462852,202900
2015-07-28,113.220001,114.989998,112.269997,114.860001,104.845276,299000
2015-07-29,114.739998,117.970001,114.470001,117.480003,107.236855,412100
2015-07-30,117.000000,117.760002,115.040001,116.610001,106.442719,249900
2015-07-31,116.970001,118.309998,115.839996,117.410004,107.172951,302900
2015-08-03,117.029999,117.029999,115.059998,115.730003,105.639458,278200
2015-08-04,115.839996,116.900002,114.610001,115.949997,105.840248,247900
2015-08-05,116.650002,118.800003,115.769997,117.120003,106.908249,444300
2015-08-06,116.459999,128.220001,114.709999,122.260002,111.600067,591000
2015-08-07,121.610001,122.309998,113.540001,115.809998,105.712456,657600
2015-08-10,117.019997,121.029999,116.489998,120.550003,110.039192,368900
2015-08-11,119.550003,120.750000,118.379997,118.980003,108.606071,349400
2015-08-12,117.980003,117.989998,114.639999,117.690002,107.428543,410900
2015-08-13,117.400002,118.730003,116.760002,117.180000,106.962997,359800
2015-08-14,116.910004,119.800003,116.610001,119.199997,108.806885,288900
2015-08-17,118.589996,120.529999,117.760002,120.129997,109.655807,329700
2015-08-18,119.750000,121.400002,119.559998,120.529999,110.020920,208400
2015-08-19,119.809998,120.370003,117.739998,118.309998,107.994484,367900
2015-08-20,117.699997,118.059998,112.669998,112.779999,102.946655,403200
2015-08-21,111.910004,114.040001,109.980003,110.070000,100.472946,483800
2015-08-24,103.809998,112.010002,102.760002,107.360001,97.999214,609700
2015-08-25,110.330002,110.330002,104.559998,104.870003,95.726349,430400
2015-08-26,106.529999,109.529999,105.400002,109.389999,100.234550,364800
2015-08-27,110.349998,113.620003,110.129997,113.129997,103.661530,385400
2015-08-28,112.500000,114.129997,111.480003,113.570000,104.064697,393000
2015-08-31,112.930000,114.379997,111.910004,112.580002,103.157547,285200
2015-09-01,110.900002,112.260002,106.970001,107.550003,98.548553,867100
2015-09-02,109.400002,114.339996,108.400002,114.260002,104.696953,764600
2015-09-03,114.400002,116.180000,113.639999,113.989998,104.449554,506100
2015-09-04,112.430000,113.769997,111.849998,112.610001,103.185043,221500
2015-09-08,114.519997,116.089996,113.370003,116.000000,106.291313,270500
2015-09-09,116.949997,117.260002,114.550003,114.790001,105.182602,238600
2015-09-10,114.849998,116.910004,114.059998,115.230003,105.585747,238200
2015-09-11,114.099998,115.650002,113.800003,115.540001,105.869827,131000
2015-09-14,115.379997,115.389999,114.029999,115.040001,105.411682,146700
2015-09-15,115.639999,116.449997,114.989998,116.300003,106.566208,138100
2015-09-16,116.430000,116.800003,115.019997,116.400002,106.657822,245500
2015-09-17,116.290001,117.190002,115.040001,115.279999,105.631577,167100
2015-09-18,114.120003,114.400002,111.199997,111.599998,102.259575,481600
2015-09-21,112.599998,112.599998,110.339996,110.830002,101.553993,280600
2015-09-22,109.239998,110.129997,108.080002,109.010002,99.886360,199500
2015-09-23,109.849998,109.889999,107.050003,107.239998,98.264488,116200
2015-09-24,105.790001,107.529999,104.989998,107.080002,98.117874,244700
2015-09-25,108.150002,108.300003,105.139999,105.720001,96.871704,161300
2015-09-28,104.889999,105.550003,103.430000,103.980003,95.277328,304200
2015-09-29,104.480003,105.660004,103.510002,105.349998,96.532684,240200
2015-09-30,106.750000,107.660004,105.650002,107.150002,98.182037,245500
2015-10-01,106.849998,107.620003,104.519997,105.750000,96.899193,317100
2015-10-02,104.230003,106.940002,103.580002,106.940002,97.989601,188700
2015-10-05,108.230003,108.900002,107.480003,108.300003,99.235786,295600
2015-10-06,108.489998,109.400002,107.989998,108.300003,99.235786,225900
2015-10-07,109.220001,110.980003,108.059998,110.220001,100.995071,284200
2015-10-08,109.620003,112.180000,109.050003,111.470001,102.140450,234200
2015-10-09,112.250000,113.699997,111.120003,113.510002,104.009689,221800
2015-10-12,113.540001,113.540001,111.559998,111.889999,102.525299,198600
2015-10-13,111.010002,112.129997,109.419998,109.519997,100.353653,230400
2015-10-14,109.980003,110.750000,108.220001,108.610001,99.519829,239900
2015-10-15,108.580002,109.059998,106.650002,108.300003,99.235786,206900
2015-10-16,108.180000,108.330002,105.449997,106.239998,97.348198,156200
2015-10-19,105.570000,106.330002,104.370003,104.629997,95.872917,323900
2015-10-20,104.589996,106.360001,104.410004,105.220001,96.413551,244500
2015-10-21,105.930000,106.440002,105.089996,105.239998,96.431885,141800
2015-10-22,105.620003,107.440002,105.400002,106.669998,97.742210,212300
2015-10-23,107.510002,109.220001,107.410004,108.730003,99.629791,233500
2015-10-26,108.709999,108.779999,107.239998,107.639999,98.630989,297900
2015-10-27,107.760002,110.269997,106.760002,110.129997,100.912613,484200
2015-10-28,111.010002,112.949997,110.160004,112.709999,103.276657,319500
2015-10-29,112.220001,113.980003,112.220001,113.820000,104.293762,181900
2015-10-30,114.660004,121.010002,113.580002,119.940002,109.901558,652200
2015-11-02,120.300003,121.930000,117.900002,121.080002,110.946159,343100
2015-11-03,120.580002,121.779999,119.680000,121.629997,111.450104,298100
2015-11-04,122.099998,122.339996,119.250000,120.370003,110.295563,504700
2015-11-05,121.570000,131.190002,120.699997,130.130005,119.238708,820100
2015-11-06,130.970001,131.080002,126.910004,129.000000,118.203278,439100
2015-11-09,128.770004,128.960007,125.809998,127.580002,116.902115,319500
2015-11-10,127.570000,128.750000,125.980003,128.160004,117.433578,407200
2015-11-11,129.160004,131.070007,127.949997,130.580002,119.651039,543400
2015-11-12,129.190002,130.139999,127.989998,127.989998,117.277794,310500
2015-11-13,127.510002,128.080002,126.199997,127.489998,116.819656,278800
2015-11-16,128.089996,131.580002,127.370003,131.449997,120.448219,315300
2015-11-17,132.050003,133.860001,130.729996,131.750000,120.723099,312800
2015-11-18,132.000000,132.600006,130.279999,131.429993,120.429863,416600
2015-11-19,132.389999,134.220001,130.610001,134.080002,122.858109,376700
2015-11-20,135.300003,136.550003,133.520004,134.520004,123.261276,271700
2015-11-23,135.070007,135.570007,132.880005,133.669998,122.482391,194500
2015-11-24,133.399994,133.860001,131.179993,133.850006,123.107849,272600
2015-11-25,133.850006,134.500000,131.600006,132.300003,121.682266,215900
2015-11-27,132.800003,133.279999,131.169998,132.770004,122.114517,106000
2015-11-30,132.830002,132.830002,130.250000,130.919998,120.412994,305400
2015-12-01,131.190002,133.869995,130.419998,133.750000,123.015862,332700
2015-12-02,133.380005,133.380005,130.690002,131.210007,120.679718,207600
2015-12-03,131.360001,132.410004,128.929993,130.100006,119.658798,309100
2015-12-04,130.320007,133.479996,129.220001,133.080002,122.399635,259000
2015-12-07,133.080002,133.080002,131.080002,132.529999,121.893791,260400
2015-12-08,130.880005,131.720001,130.020004,130.580002,120.100273,335100
2015-12-09,130.100006,131.479996,128.460007,128.660004,118.334358,294500
2015-12-10,128.559998,129.619995,127.739998,128.479996,118.168800,198300
