Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,53.590000,54.840000,53.549999,54.689999,46.317425,1924700
2015-06-11,54.029999,54.720001,53.939999,54.720001,46.342842,2481600
2015-06-12,54.410000,54.849998,54.410000,54.520000,46.173454,1847600
2015-06-15,54.040001,54.660000,53.820000,54.520000,46.173454,1956700
2015-06-16,54.480000,54.779999,54.369999,54.709999,46.334377,1083400
2015-06-17,54.980000,57.110001,54.770000,56.660000,47.985844,3939400
2015-06-18,57.570000,59.610001,57.570000,59.009998,49.976074,7034800
2015-06-19,58.980000,59.000000,58.040001,58.299999,49.374775,3558800
2015-06-22,58.779999,59.099998,58.580002,58.750000,49.755882,2415900
2015-06-23,58.619999,59.040001,58.180000,58.200001,49.290092,2271300
2015-06-24,58.310001,58.540001,57.570000,57.849998,48.993664,1788000
2015-06-25,57.880001,57.889999,57.279999,57.419998,48.629498,1099000
2015-06-26,57.700001,57.700001,56.860001,56.910000,48.197586,3588800
2015-06-29,56.509998,56.639999,55.869999,55.930000,47.367607,2197300
2015-06-30,56.590000,56.720001,55.849998,56.349998,47.723305,1894700
2015-07-01,56.910000,56.950001,55.939999,56.099998,47.511578,1927800
2015-07-02,56.590000,56.610001,55.650002,56.029999,47.452290,1362200
2015-07-06,56.299999,56.790001,55.779999,56.450001,47.807999,2430100
2015-07-07,56.450001,56.790001,55.349998,56.660000,47.985844,1770700
2015-07-08,55.700001,55.849998,54.270000,54.700001,46.325901,3173100
2015-07-09,55.259998,55.380001,54.560001,54.700001,46.325901,1257900
2015-07-10,55.430000,55.830002,55.270000,55.680000,47.155880,1462100
2015-07-13,56.230000,56.660000,56.029999,56.529999,47.875751,2064600
2015-07-14,56.939999,58.220001,56.939999,57.610001,48.790421,3136100
2015-07-15,57.540001,57.689999,55.779999,55.860001,47.308319,2514100
2015-07-16,56.320000,56.439999,55.320000,55.680000,47.155880,2241900
2015-07-17,55.509998,55.599998,54.740002,54.959999,46.546112,2345000
2015-07-20,55.029999,55.349998,54.660000,54.939999,46.529171,2759600
