Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,189.350006,190.649994,188.839996,189.279999,162.584930,1729300
2015-06-11,189.419998,191.539993,189.419998,191.479996,164.474640,1333100
2015-06-12,190.589996,191.529999,190.220001,190.979996,164.045212,1110100
2015-06-15,190.000000,190.580002,189.009995,189.919998,163.134705,710600
2015-06-16,189.259995,191.139999,188.889999,190.820007,163.907791,853800
2015-06-17,191.360001,191.779999,189.720001,191.020004,164.079559,862100
2015-06-18,191.500000,194.490005,191.389999,192.750000,165.565567,1159700
2015-06-19,192.690002,192.690002,190.990005,191.139999,164.182632,1234900
2015-06-22,191.949997,192.979996,191.660004,192.080002,164.990097,716800
2015-06-23,192.429993,192.949997,190.880005,191.639999,164.612122,572900
2015-06-24,191.220001,191.789993,190.119995,190.169998,163.349442,857600
2015-06-25,190.500000,191.169998,189.679993,189.990005,163.194824,884900
2015-06-26,190.529999,190.559998,188.509995,188.639999,162.035263,1876300
2015-06-29,187.589996,188.520004,185.410004,185.520004,159.355270,1202600
2015-06-30,187.169998,187.789993,185.330002,185.899994,159.681656,1275200
2015-07-01,186.009995,188.289993,186.009995,188.169998,161.631500,950000
2015-07-02,188.710007,188.789993,186.759995,187.300003,160.884216,1024500
2015-07-06,186.729996,188.479996,186.419998,187.990005,161.476898,902600
2015-07-07,188.570007,190.279999,187.539993,190.160004,163.340897,1328500
2015-07-08,188.509995,191.330002,188.289993,190.050003,163.246384,1528200
2015-07-09,191.759995,193.119995,191.210007,192.130005,165.033035,1442100
2015-07-10,193.990005,197.000000,192.869995,194.190002,166.802444,1638900
2015-07-13,196.000000,198.389999,195.610001,197.880005,169.972092,1197200
2015-07-14,198.899994,199.820007,198.360001,199.050003,170.977036,1059200
2015-07-15,199.190002,199.639999,198.059998,199.410004,171.286270,972200
2015-07-16,199.800003,201.809998,199.600006,201.619995,173.184601,975600
2015-07-17,200.929993,201.660004,200.399994,201.179993,172.806671,997900
2015-07-20,202.309998,205.389999,201.029999,205.130005,176.199570,2052000
2015-07-21,204.440002,204.759995,202.850006,203.149994,174.498825,1767000
2015-07-22,203.330002,204.440002,202.000000,202.789993,174.189575,1124200
2015-07-23,202.809998,204.960007,202.639999,202.830002,174.223953,1175100
2015-07-24,202.800003,202.940002,200.679993,201.039993,172.686401,1124800
2015-07-27,200.360001,201.759995,199.380005,201.169998,172.798050,997600
2015-07-28,202.419998,204.720001,201.279999,203.630005,174.911102,1125300
2015-07-29,204.770004,210.410004,204.309998,208.149994,178.793655,2491000
2015-07-30,207.220001,208.500000,205.949997,206.470001,177.350586,1554700
2015-07-31,207.610001,208.509995,206.529999,207.100006,177.891754,1116800
2015-08-03,207.270004,207.990005,206.059998,207.789993,178.484451,1064200
2015-08-04,208.509995,209.789993,207.250000,209.529999,179.979019,1066100
2015-08-05,210.020004,210.750000,209.070007,209.429993,179.893127,1209900
2015-08-06,209.729996,209.940002,208.160004,209.259995,179.747086,1147900
2015-08-07,209.000000,209.389999,207.220001,209.089996,179.601044,997500
2015-08-10,210.039993,211.570007,209.339996,210.779999,181.052719,978500
2015-08-11,209.050003,209.759995,207.899994,208.860001,179.403519,985800
2015-08-12,207.539993,209.320007,206.750000,208.779999,179.334778,917900
2015-08-13,208.729996,210.710007,208.690002,209.789993,180.202347,1091200
2015-08-14,209.750000,212.080002,209.330002,211.960007,182.066345,916000
