Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,24.059753,24.622145,23.998243,24.499121,22.848251,3539749
2015-06-11,24.622145,24.938490,24.472759,24.534271,22.881037,3397158
2015-06-12,24.446398,24.674868,24.376099,24.384886,22.741722,2834189
2015-06-15,24.253077,24.393673,24.050966,24.103691,22.479469,2780362
2015-06-16,24.024605,24.200352,23.936731,24.059753,22.438494,3306914
2015-06-17,24.059753,24.226713,23.875219,24.121265,22.495867,3395564
2015-06-18,24.182777,24.446398,24.182777,24.367311,22.725325,4658517
2015-06-19,24.376099,24.586994,24.297012,24.349735,22.708937,4252820
2015-06-22,24.507910,24.525482,24.156416,24.270651,22.635180,3432663
2015-06-23,24.270651,24.376099,24.059753,24.182777,22.553226,3862258
2015-06-24,24.314587,24.376099,23.971880,24.015818,22.397512,2626959
2015-06-25,24.033392,24.235500,23.989454,24.086117,22.463079,3224523
2015-06-26,24.103691,24.270651,23.910370,23.989454,22.372931,3285178
2015-06-29,23.822496,23.971880,23.216169,23.233744,21.668140,4091110
2015-06-30,23.391916,23.637960,23.321617,23.435852,21.856636,4961452
2015-07-01,23.809999,24.110001,23.540001,23.770000,22.168268,5291800
2015-07-02,23.820000,23.870001,23.469999,23.600000,22.009722,3243000
2015-07-06,23.400000,23.770000,23.330000,23.500000,21.916458,2871300
2015-07-07,23.520000,23.650000,22.990000,23.620001,22.028374,6215100
2015-07-08,23.430000,23.450001,22.879999,23.030001,21.478134,4062500
2015-07-09,23.299999,23.330000,23.040001,23.049999,21.581118,3634100
2015-07-10,23.260000,23.549999,23.209999,23.480000,21.983713,3162900
2015-07-13,23.639999,23.750000,23.400000,23.520000,22.021173,4043100
2015-07-14,23.450001,23.670000,23.420000,23.639999,22.133520,4163500
2015-07-15,23.670000,23.709999,23.389999,23.400000,21.908815,3895800
2015-07-16,23.580000,23.719999,23.230000,23.270000,21.787100,5570500
2015-07-17,23.209999,23.260000,22.840000,22.860001,21.403227,2591800
2015-07-20,22.889999,23.120001,22.870001,23.010000,21.543673,3580100
2015-07-21,22.900000,23.030001,22.520000,22.629999,21.187889,5949500
2015-07-22,22.590000,23.160000,22.580000,23.080000,21.609211,7639100
2015-07-23,23.389999,24.250000,23.250000,23.799999,22.283327,9118700
2015-07-24,23.799999,23.940001,23.150000,23.370001,21.880724,5728300
2015-07-27,23.200001,23.389999,23.020000,23.160000,21.684107,5525300
2015-07-28,24.200001,25.920000,24.139999,25.629999,23.996704,12562300
2015-07-29,25.780001,26.540001,25.780001,26.410000,24.727001,7496000
2015-07-30,26.350000,26.690001,26.070000,26.400000,24.717634,6269200
2015-07-31,26.510000,26.790001,26.309999,26.389999,24.708275,6419300
2015-08-03,26.360001,26.530001,26.200001,26.440001,24.755093,6074100
2015-08-04,26.490000,26.700001,26.320000,26.459999,24.773811,4198800
2015-08-05,26.670000,26.709999,26.059999,26.200001,24.530382,4826300
2015-08-06,26.350000,26.870001,26.280001,26.440001,24.755093,7649600
2015-08-07,26.459999,26.850000,26.360001,26.830000,25.120237,4958600
2015-08-10,27.000000,27.330000,26.910000,26.940001,25.223223,3655600
2015-08-11,26.670000,27.120001,26.520000,27.100000,25.373032,4121000
2015-08-12,26.850000,27.250000,26.459999,27.090000,25.363668,3667500
2015-08-13,27.090000,27.260000,26.940001,27.040001,25.316854,2733000
2015-08-14,27.040001,27.360001,27.010000,27.219999,25.485378,3039800
2015-08-17,27.200001,27.620001,27.090000,27.620001,25.859896,2082500
2015-08-18,27.690001,28.590000,27.650000,28.350000,26.543373,8066200
2015-08-19,28.080000,28.340000,27.930000,28.090000,26.299938,3393000
2015-08-20,27.850000,27.959999,27.240000,27.250000,25.513470,4056500
2015-08-21,26.990000,27.200001,26.530001,26.530001,24.839355,5988400
2015-08-24,24.959999,26.180000,24.889999,25.290001,23.678377,10774600
2015-08-25,26.110001,26.129999,24.879999,24.889999,23.303862,8173300
2015-08-26,25.610001,25.860001,24.809999,25.750000,24.109060,7597300
2015-08-27,26.030001,26.379999,25.790001,26.290001,24.614651,5540800
2015-08-28,26.180000,26.520000,26.059999,26.290001,24.614651,3696100
2015-08-31,26.120001,26.559999,25.879999,26.230000,24.558466,3617500
2015-09-01,25.750000,26.020000,25.490000,25.639999,24.006071,5380400
2015-09-02,25.959999,26.209999,25.549999,26.200001,24.530382,4311400
2015-09-03,26.340000,26.900000,26.340000,26.590000,24.895527,4938400
2015-09-04,26.150000,26.400000,26.010000,26.230000,24.558466,4963300
2015-09-08,26.709999,26.770000,26.389999,26.760000,25.054697,4637000
2015-09-09,27.000000,27.170000,26.559999,26.600000,24.904890,3643300
2015-09-10,26.610001,26.959999,26.490000,26.850000,25.138962,3611100
2015-09-11,26.730000,27.110001,26.650000,27.110001,25.382397,2801700
2015-09-14,27.110001,27.260000,26.940001,27.100000,25.373032,3829700
2015-09-15,27.209999,27.600000,26.969999,27.500000,25.747541,3265100
2015-09-16,27.469999,27.629999,27.299999,27.549999,25.794353,3399400
2015-09-17,27.530001,28.070000,27.299999,27.549999,25.794353,5112000
2015-09-18,27.180000,27.490000,26.990000,27.260000,25.522833,6393800
2015-09-21,27.440001,27.670000,27.100000,27.290001,25.550922,3747100
2015-09-22,26.990000,26.990000,26.389999,26.690001,24.989161,5796800
2015-09-23,26.750000,26.780001,26.340000,26.549999,24.858076,3931400
2015-09-24,26.320000,26.410000,25.930000,26.299999,24.624008,4759500
2015-09-25,26.610001,26.690001,26.040001,26.190001,24.521021,3162100
2015-09-28,26.120001,26.190001,25.490000,25.620001,23.987343,6658100
2015-09-29,25.670000,25.809999,24.280001,24.580000,23.013618,7977700
2015-09-30,24.799999,25.290001,24.559999,25.180000,23.575386,7329100
2015-10-01,25.350000,25.719999,25.090000,25.670000,24.034159,6766700
2015-10-02,25.260000,25.900000,24.889999,25.900000,24.249498,6016700
2015-10-05,26.150000,26.500000,25.820000,26.459999,24.773811,5221000
2015-10-06,26.809999,27.320000,26.500000,26.530001,24.839355,10038500
2015-10-07,26.620001,27.209999,26.530001,26.780001,25.163532,17149600
2015-10-08,26.780001,27.040001,26.680000,26.780001,25.163532,15233800
2015-10-09,26.860001,27.070000,26.590000,27.010000,25.379646,8669800
2015-10-12,27.049999,27.160000,26.700001,27.110001,25.473614,3852300
2015-10-13,26.969999,27.320000,26.590000,26.629999,25.022583,5460700
2015-10-14,26.610001,26.910000,26.120001,26.150000,24.571558,5928100
2015-10-15,26.309999,26.450001,25.750000,26.379999,24.787676,7075900
2015-10-16,26.389999,26.500000,25.930000,26.420000,24.825264,6896100
2015-10-19,26.370001,26.670000,26.270000,26.549999,24.947409,4213500
2015-10-20,26.540001,27.230000,26.490000,26.670000,25.060167,4487500
2015-10-21,26.910000,27.180000,26.820000,26.850000,25.229303,5326700
2015-10-22,26.920000,27.709999,26.600000,27.629999,25.962223,5773400
2015-10-23,27.889999,27.980000,27.379999,27.570000,25.905846,5573400
2015-10-26,27.600000,27.690001,27.240000,27.600000,25.934034,7169100
2015-10-27,26.809999,28.379999,26.770000,28.360001,26.648161,12026500
2015-10-28,28.709999,29.260000,28.660000,29.250000,27.484436,8403600
2015-10-29,29.230000,29.309999,28.500000,28.680000,26.948843,6544800
2015-10-30,28.660000,29.200001,28.600000,29.000000,27.249527,4279400
2015-11-02,29.049999,29.410000,29.000000,29.350000,27.578400,3121200
2015-11-03,29.280001,29.530001,28.920000,29.400000,27.625380,5206000
2015-11-04,29.400000,29.549999,28.980000,29.020000,27.268322,5394900
2015-11-05,29.010000,29.309999,28.750000,29.250000,27.484436,3250200
2015-11-06,29.120001,29.240000,28.570000,28.600000,26.873674,6761500
2015-11-09,28.549999,28.590000,28.080000,28.410000,26.695141,4667200
2015-11-10,28.370001,28.840000,28.280001,28.799999,27.061596,3508100
2015-11-11,28.940001,29.330000,28.790001,29.160000,27.399866,3043200
2015-11-12,28.889999,29.070000,28.639999,28.670000,26.939445,3596500
2015-11-13,28.600000,28.730000,28.230000,28.299999,26.591780,3361400
2015-11-16,28.379999,28.860001,28.129999,28.780001,27.042809,3871300
2015-11-17,28.379999,29.510000,28.379999,29.320000,27.550215,5344100
2015-11-18,29.360001,29.889999,29.309999,29.840000,28.038824,3697800
2015-11-19,29.840000,30.090000,29.750000,29.950001,28.142183,3942800
2015-11-20,30.010000,30.340000,30.000000,30.190001,28.367699,3052100
2015-11-23,30.200001,30.610001,29.969999,30.160000,28.339508,4154500
2015-11-24,30.030001,30.360001,29.980000,30.190001,28.367699,2573900
2015-11-25,30.190001,30.520000,30.190001,30.500000,28.658983,2107500
2015-11-27,30.450001,30.549999,30.150000,30.250000,28.424076,1597600
2015-11-30,30.290001,30.400000,29.830000,29.910000,28.104601,3496300
2015-12-01,30.020000,30.459999,29.799999,30.420000,28.583813,3572800
2015-12-02,30.330000,30.490000,30.120001,30.170000,28.348902,3280300
2015-12-03,30.200001,30.260000,29.309999,29.510000,27.728748,3158000
2015-12-04,29.629999,30.090000,29.480000,30.020000,28.207956,3232600
2015-12-07,29.879999,30.020000,29.730000,29.940001,28.132788,2228700
2015-12-08,29.590000,29.990000,29.490000,29.750000,27.954254,2853200
2015-12-09,29.620001,29.990000,29.139999,29.299999,27.531418,3259600
2015-12-10,29.219999,29.480000,28.900000,29.250000,27.484436,3663200
2015-12-11,29.000000,29.320000,28.830000,28.959999,27.211939,2998100
2015-12-14,29.080000,29.240000,28.650000,29.219999,27.456242,3602100
2015-12-15,29.400000,29.590000,28.760000,28.809999,27.070993,4885100
2015-12-16,29.100000,29.650000,28.990000,29.430000,27.653570,4871600
2015-12-17,29.450001,29.520000,28.370001,28.370001,26.657555,4451400
2015-12-18,28.240000,28.240000,27.680000,27.879999,26.197128,8325800
2015-12-21,28.049999,28.219999,27.809999,28.040001,26.347479,3342700
2015-12-22,28.150000,28.360001,27.879999,28.309999,26.601177,2892300
2015-12-23,28.500000,28.629999,28.309999,28.379999,26.666950,3356200
2015-12-24,28.340000,28.559999,28.260000,28.440001,26.723330,1535900
2015-12-28,28.250000,28.540001,28.170000,28.510000,26.789103,1500400
2015-12-29,28.730000,28.750000,28.430000,28.540001,26.817293,1796700
2015-12-30,28.490000,28.709999,28.370001,28.410000,26.695141,1545600
2015-12-31,28.309999,28.650000,28.000000,28.299999,26.591780,2096700
2016-01-04,27.830000,27.879999,27.480000,27.799999,26.121960,3374000
2016-01-05,27.889999,28.160000,27.559999,27.690001,26.018602,2511600
2016-01-06,27.230000,27.700001,26.820000,27.379999,25.815876,6287000
2016-01-07,26.780001,27.080000,25.920000,26.129999,24.637291,5723000
2016-01-08,26.260000,26.430000,25.469999,25.530001,24.071566,8750400
2016-01-11,25.570000,25.820000,24.870001,25.150000,23.713278,7066500
2016-01-12,25.440001,25.670000,25.059999,25.520000,24.062141,7857800
2016-01-13,25.600000,25.799999,24.510000,24.540001,23.138121,5757600
2016-01-14,24.580000,25.100000,24.100000,24.950001,23.524704,7536900
2016-01-15,24.410000,25.330000,24.299999,24.820000,23.402124,7463600
2016-01-19,25.070000,25.420000,24.450001,24.709999,23.298409,6824700
2016-01-20,24.280001,24.570000,23.760000,24.260000,22.874115,6957100
2016-01-21,24.320000,25.370001,24.129999,24.910000,23.486980,8733300
2016-01-22,25.549999,26.190001,25.410000,25.570000,24.109278,5461000
2016-01-25,25.690001,25.719999,25.309999,25.370001,23.920708,5516300
2016-01-26,25.360001,25.719999,24.959999,25.670000,24.203568,3507100
2016-01-27,25.570000,26.150000,25.469999,25.770000,24.297859,5728600
2016-01-28,25.910000,26.070000,25.230000,25.420000,23.967846,4416700
2016-01-29,25.670000,26.420000,25.290001,26.389999,24.882439,4719200
2016-02-01,26.230000,26.389999,26.000000,26.270000,24.769297,3795900
2016-02-02,25.940001,26.010000,25.030001,25.070000,23.637842,6471400
2016-02-03,25.360001,25.510000,24.260000,25.260000,23.816988,6906600
2016-02-04,25.139999,26.040001,25.139999,25.389999,23.939568,4689500
2016-02-05,25.340000,25.469999,24.190001,24.299999,22.911829,6235300
2016-02-08,23.920000,23.990000,23.100000,23.459999,22.119818,10549400
2016-02-09,24.620001,25.629999,23.600000,25.389999,23.939568,11542300
2016-02-10,25.680000,26.400000,25.360001,25.510000,24.052708,7124500
2016-02-11,25.059999,25.620001,24.620001,24.969999,23.543554,6618700
2016-02-12,25.320000,25.860001,25.230000,25.820000,24.344997,5417100
2016-02-16,26.309999,26.440001,25.610001,26.430000,24.920155,7757800
2016-02-17,26.610001,27.440001,26.600000,27.230000,25.674454,6053000
2016-02-18,27.270000,27.379999,26.930000,27.030001,25.485880,4252100
2016-02-19,26.950001,27.700001,26.830000,27.620001,26.042173,5082200
2016-02-22,27.860001,28.010000,27.570000,27.790001,26.202456,4107000
2016-02-23,27.770000,28.400000,27.620001,28.360001,26.739895,5456100
