Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,157.839996,159.110001,156.440002,158.559998,144.513306,1271400
2015-06-11,158.820007,161.050003,158.770004,160.770004,146.527481,923900
2015-06-12,159.610001,161.360001,159.100006,161.059998,146.791794,1027400
2015-06-15,159.669998,160.550003,159.000000,159.960007,145.789276,924100
2015-06-16,159.039993,163.500000,159.039993,161.490005,147.183685,871700
2015-06-17,162.000000,163.380005,161.119995,162.869995,148.441452,831400
2015-06-18,163.279999,165.919998,163.220001,165.160004,150.528625,1150100
2015-06-19,164.500000,165.970001,164.500000,165.050003,150.428329,1943500
2015-06-22,165.789993,166.550003,165.350006,165.470001,150.811157,960400
2015-06-23,165.660004,166.210007,163.729996,164.369995,149.808624,1249800
2015-06-24,164.240005,164.679993,162.889999,163.210007,148.751373,869100
2015-06-25,163.619995,164.100006,162.009995,162.130005,147.767029,891000
2015-06-26,162.419998,162.839996,161.449997,161.770004,147.438950,2037500
2015-06-29,160.800003,161.580002,158.639999,158.679993,144.622696,1055400
2015-06-30,159.990005,160.240005,158.160004,158.630005,144.577103,900600
2015-07-01,159.639999,160.509995,159.039993,160.100006,145.916901,734400
2015-07-02,160.660004,161.229996,158.419998,159.500000,145.370010,975900
2015-07-06,158.350006,159.589996,158.100006,159.250000,145.142166,967300
2015-07-07,159.830002,161.509995,158.130005,161.389999,147.092590,986300
2015-07-08,160.220001,161.750000,160.179993,160.660004,146.427261,888500
2015-07-09,163.009995,164.000000,162.550003,162.690002,148.277405,1228800
2015-07-10,164.300003,165.949997,163.679993,165.369995,150.719986,1167100
2015-07-13,167.020004,167.619995,166.000000,167.300003,152.479034,942900
2015-07-14,167.160004,168.820007,167.039993,168.490005,153.563614,1169800
2015-07-15,168.210007,169.050003,167.740005,168.589996,153.654724,991000
2015-07-16,169.320007,170.070007,168.470001,169.860001,154.812256,876600
2015-07-17,169.210007,169.970001,168.309998,168.990005,154.019333,792100
2015-07-20,169.539993,170.350006,168.979996,169.830002,154.784882,877700
2015-07-21,169.110001,169.470001,165.979996,166.770004,151.995941,833800
2015-07-22,166.750000,167.240005,165.750000,166.279999,151.549377,905400
2015-07-23,166.610001,167.589996,165.139999,165.500000,150.838501,1222600
2015-07-24,165.589996,165.979996,164.190002,164.800003,150.200516,665500
2015-07-27,163.919998,164.250000,162.160004,162.559998,148.158920,970500
2015-07-28,163.410004,164.580002,162.000000,163.339996,148.869873,1584000
2015-07-29,170.600006,176.500000,167.179993,173.440002,158.075058,3107200
2015-07-30,172.860001,176.020004,172.360001,175.410004,159.870605,1656800
2015-07-31,175.850006,175.850006,172.729996,173.009995,157.683151,1742300
2015-08-03,172.850006,173.360001,170.669998,172.160004,156.908493,1346300
2015-08-04,172.600006,173.210007,171.580002,172.119995,156.872025,1392300
2015-08-05,173.050003,174.520004,172.910004,173.679993,158.293823,1120900
2015-08-06,173.940002,174.110001,171.699997,172.869995,157.555603,875200
2015-08-07,172.720001,173.320007,171.029999,172.649994,157.355026,872300
2015-08-10,174.139999,175.839996,173.740005,175.250000,159.724747,828300
2015-08-11,173.270004,173.699997,172.169998,173.270004,157.920135,767200
2015-08-12,171.979996,172.300003,169.610001,171.559998,156.361633,1152800
2015-08-13,172.089996,173.619995,172.000000,172.860001,157.546509,626000
2015-08-14,173.029999,174.350006,172.259995,174.179993,158.749512,718200
2015-08-17,173.600006,174.869995,172.350006,174.710007,159.232590,685700
2015-08-18,174.429993,175.779999,174.339996,175.500000,159.952591,727100
2015-08-19,174.949997,176.830002,173.600006,175.619995,160.061966,1024400
2015-08-20,173.949997,174.550003,172.589996,172.589996,157.300369,1118800
2015-08-21,171.179993,171.740005,165.210007,165.350006,150.701782,1985300
2015-08-24,152.309998,165.910004,152.309998,160.020004,145.843979,2293900
2015-08-25,163.660004,164.330002,159.070007,159.690002,145.543182,1760800
2015-08-26,162.800003,164.740005,159.139999,164.479996,149.908844,1479700
2015-08-27,165.259995,167.949997,163.770004,167.080002,153.022797,1168700
2015-08-28,166.580002,167.429993,164.490005,165.539993,151.612366,979200
2015-08-31,165.500000,165.830002,163.600006,163.740005,149.963806,974800
2015-09-01,160.750000,161.690002,158.839996,159.369995,145.961472,1611100
2015-09-02,160.949997,164.630005,160.470001,164.610001,150.760574,1081300
2015-09-03,164.949997,166.910004,164.330002,164.649994,150.797256,1055200
2015-09-04,162.929993,163.250000,161.050003,162.300003,148.644928,1197900
2015-09-08,164.889999,168.300003,164.520004,168.009995,153.874527,1721700
2015-09-09,169.899994,170.169998,165.910004,166.259995,152.271805,761800
2015-09-10,165.320007,166.839996,164.960007,165.699997,151.758926,1045500
2015-09-11,165.270004,168.580002,164.839996,168.520004,154.341660,927100
2015-09-14,168.419998,168.830002,167.119995,167.830002,153.709686,871700
2015-09-15,168.229996,170.970001,167.369995,170.330002,155.999344,1023600
2015-09-16,171.770004,171.899994,169.720001,170.960007,156.576324,928900
2015-09-17,171.740005,173.490005,170.330002,170.720001,156.356537,1196300
2015-09-18,168.449997,170.800003,167.960007,168.979996,154.762955,2347600
2015-09-21,169.289993,171.529999,169.169998,170.210007,155.889465,986000
2015-09-22,167.360001,168.429993,166.539993,167.630005,153.526520,887100
2015-09-23,167.919998,168.339996,166.039993,167.419998,153.334183,844800
2015-09-24,165.919998,167.539993,163.699997,166.779999,152.748032,1102600
2015-09-25,167.809998,168.600006,164.839996,165.570007,151.639832,952900
2015-09-28,164.369995,165.529999,162.500000,162.649994,148.965469,1063900
2015-09-29,162.649994,163.899994,161.809998,163.550003,149.789810,784000
2015-09-30,165.149994,167.259995,164.479996,165.949997,151.987854,1248500
2015-10-01,166.000000,166.399994,162.679993,165.720001,151.777206,1413700
2015-10-02,163.970001,167.600006,163.199997,167.529999,153.434937,1104100
2015-10-05,169.199997,171.259995,168.330002,170.380005,156.045166,1218400
2015-10-06,170.350006,171.399994,168.259995,168.410004,154.240921,1091700
2015-10-07,169.570007,171.369995,168.809998,171.199997,156.796158,1106100
2015-10-08,170.210007,173.800003,169.240005,173.750000,159.131607,1139200
2015-10-09,173.639999,176.830002,173.169998,175.750000,160.963348,1485400
2015-10-12,176.660004,177.779999,175.389999,177.190002,162.282166,1325200
2015-10-13,176.699997,177.919998,176.229996,177.000000,162.108200,1015800
2015-10-14,176.809998,176.929993,173.509995,173.800003,159.177444,708900
2015-10-15,174.520004,174.740005,172.399994,174.059998,159.415543,1115500
2015-10-16,174.949997,175.440002,173.619995,174.880005,160.166504,1156100
2015-10-19,174.059998,174.630005,172.869995,174.580002,159.891800,602600
2015-10-20,173.690002,175.339996,173.190002,174.449997,159.772690,805000
2015-10-21,175.690002,176.050003,173.869995,174.130005,159.479645,762400
2015-10-22,175.050003,180.350006,174.229996,179.500000,164.397827,1286400
2015-10-23,180.119995,181.000000,178.619995,179.830002,164.700104,920400
2015-10-26,180.039993,180.990005,178.979996,180.289993,165.121353,1290200
2015-10-27,179.580002,181.889999,179.580002,180.600006,165.405273,1885800
2015-10-28,191.020004,193.990005,188.750000,190.500000,174.472366,4034200
2015-10-29,188.669998,192.250000,188.500000,190.070007,174.078537,1926900
2015-10-30,190.809998,190.889999,187.750000,187.750000,171.953720,1373800
2015-11-02,188.479996,189.830002,188.009995,189.539993,173.593140,1110800
2015-11-03,189.110001,189.320007,186.520004,186.639999,170.937119,941400
2015-11-04,187.289993,188.449997,185.410004,186.169998,170.506668,1088700
2015-11-05,186.419998,187.500000,185.470001,186.419998,170.735626,703300
2015-11-06,186.020004,186.410004,183.119995,184.009995,168.528366,1421500
2015-11-09,183.369995,184.199997,181.100006,181.660004,166.376144,1105700
2015-11-10,181.039993,182.580002,180.020004,181.490005,166.220428,928100
2015-11-11,181.690002,182.889999,181.399994,181.699997,166.412720,855900
2015-11-12,181.289993,182.149994,179.899994,180.309998,165.139679,929100
2015-11-13,179.470001,181.380005,178.600006,178.820007,163.775085,960100
2015-11-16,179.899994,186.729996,179.399994,186.610001,170.909637,1780200
2015-11-17,188.000000,188.000000,185.110001,186.139999,170.479202,1325500
2015-11-18,186.449997,188.479996,186.279999,188.139999,172.310944,845100
2015-11-19,188.919998,189.440002,187.179993,188.259995,172.420822,1030200
2015-11-20,189.360001,190.149994,188.839996,189.479996,173.538162,1243100
2015-11-23,189.500000,190.000000,187.770004,187.830002,172.026978,889200
2015-11-24,186.800003,188.610001,186.179993,188.000000,172.182693,1025800
2015-11-25,187.759995,188.949997,186.960007,187.770004,172.707001,886900
2015-11-27,188.070007,188.949997,186.580002,188.410004,173.295624,456300
2015-11-30,188.919998,188.929993,185.949997,186.360001,171.410095,1534300
2015-12-01,187.089996,189.369995,186.600006,187.309998,172.283905,1035900
2015-12-02,186.919998,187.820007,185.419998,185.690002,170.793808,750100
2015-12-03,185.970001,186.380005,182.009995,183.059998,168.374802,1186600
2015-12-04,183.479996,188.199997,183.389999,187.949997,172.872513,891900
2015-12-07,187.970001,188.440002,186.770004,187.990005,172.909317,707700
2015-12-08,186.559998,188.919998,185.960007,188.000000,172.918518,1213900
2015-12-09,187.160004,188.570007,185.080002,186.550003,171.584824,1386000
2015-12-10,186.729996,188.240005,186.679993,187.460007,172.421829,1568700
2015-12-11,185.600006,187.110001,185.059998,186.020004,171.097382,1594200
2015-12-14,186.619995,188.500000,185.240005,187.070007,172.063110,1257600
2015-12-15,188.029999,189.750000,187.610001,187.839996,172.771362,1935600
2015-12-16,189.789993,191.000000,187.309998,189.750000,174.528107,1423400
2015-12-17,189.910004,190.500000,188.289993,188.309998,173.203644,2444700
2015-12-18,187.509995,187.509995,184.410004,184.860001,170.030411,2908000
2015-12-21,186.000000,189.070007,185.500000,189.009995,173.847519,1368100
2015-12-22,189.919998,190.669998,187.699997,189.369995,174.178589,876600
2015-12-23,190.410004,190.410004,189.360001,190.000000,174.758057,490400
2015-12-24,189.399994,190.979996,189.270004,190.110001,174.859268,230200
2015-12-28,189.940002,190.279999,188.639999,189.979996,174.739670,419100
2015-12-29,190.820007,191.820007,190.559998,191.479996,176.119354,616000
2015-12-30,191.399994,191.869995,189.809998,190.080002,174.831665,470700
2015-12-31,189.460007,190.649994,187.550003,188.809998,173.663528,550600
2016-01-04,185.979996,187.600006,185.309998,187.509995,172.467789,1476100
2016-01-05,187.850006,192.860001,187.850006,192.389999,176.956329,2302200
2016-01-06,190.160004,193.199997,190.000000,190.470001,175.190353,1879700
2016-01-07,187.899994,189.679993,186.009995,188.110001,173.019684,2136100
2016-01-08,188.789993,189.740005,185.899994,186.070007,171.143311,1503300
2016-01-11,187.479996,188.710007,185.509995,188.110001,173.019684,1773800
2016-01-12,189.059998,189.470001,187.529999,188.919998,173.764740,1010400
2016-01-13,189.000000,189.440002,184.570007,184.860001,170.030411,1099200
2016-01-14,184.860001,186.509995,182.869995,185.550003,170.665054,1062100
2016-01-15,181.000000,185.100006,180.320007,184.210007,169.432556,1532800
2016-01-19,186.369995,187.279999,183.559998,186.750000,171.768784,2210300
2016-01-20,183.839996,185.169998,178.979996,182.559998,167.914902,1841500
2016-01-21,183.470001,184.130005,180.960007,181.220001,166.682404,1031600
2016-01-22,183.229996,184.449997,182.009995,184.110001,169.340576,857300
2016-01-25,184.089996,184.600006,181.619995,181.830002,167.243484,987900
2016-01-26,181.470001,182.740005,178.869995,182.500000,167.859726,1473400
2016-01-27,181.429993,182.490005,177.830002,178.190002,163.895477,1613500
2016-01-28,176.399994,181.190002,175.000000,180.149994,165.698196,2078600
2016-01-29,181.429993,185.339996,180.029999,185.059998,170.214355,1831700
2016-02-01,186.380005,189.750000,184.630005,188.639999,173.507172,1426000
2016-02-02,186.929993,189.179993,186.449997,187.440002,172.403427,1139500
2016-02-03,188.610001,190.050003,186.860001,189.770004,174.546524,1317200
2016-02-04,188.800003,189.899994,185.309998,186.350006,171.400879,1550400
2016-02-05,186.720001,188.589996,185.339996,186.490005,171.529678,1811100
2016-02-08,184.740005,187.929993,184.000000,185.619995,170.729416,1693700
2016-02-09,184.169998,188.389999,184.009995,187.320007,172.293060,1287900
2016-02-10,187.740005,189.520004,187.220001,188.330002,173.222076,1013200
2016-02-11,185.119995,186.570007,180.100006,183.910004,169.156647,1491500
2016-02-12,184.559998,185.570007,180.460007,181.250000,166.710007,1594800
2016-02-16,182.399994,185.889999,180.149994,184.220001,169.441772,2165500
2016-02-17,185.610001,191.130005,184.449997,190.059998,174.813263,1226900
2016-02-18,190.699997,193.750000,190.009995,192.679993,177.223068,1340100
2016-02-19,192.160004,192.639999,190.059998,190.679993,175.383499,1526600
2016-02-22,190.779999,193.410004,190.669998,192.270004,176.845963,1088600
2016-02-23,192.029999,193.320007,190.750000,191.309998,175.962982,806500
2016-02-24,190.759995,190.919998,188.059998,190.020004,174.776489,1020400
2016-02-25,190.050003,192.960007,189.419998,192.929993,178.203217,812300
2016-02-26,193.000000,193.679993,191.940002,192.220001,177.547485,861900
2016-02-29,191.990005,194.800003,191.339996,192.220001,177.547485,1171600
2016-03-01,193.339996,194.679993,192.429993,193.880005,179.080719,1214600
2016-03-02,193.660004,194.699997,191.830002,193.320007,178.563522,781200
2016-03-03,192.830002,193.529999,189.320007,192.119995,177.455078,1137000
2016-03-04,191.619995,192.440002,190.050003,191.070007,176.485245,1290100
2016-03-07,190.089996,191.160004,186.350006,186.679993,172.430328,1410800
2016-03-08,185.429993,187.669998,185.080002,186.860001,172.596619,1676600
