Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,77.410004,78.349998,77.180000,77.800003,63.376934,3600200
2015-06-11,77.980003,79.290001,77.480003,78.669998,64.085632,3126400
2015-06-12,78.160004,78.339996,76.940002,77.650002,63.254745,2574600
2015-06-15,77.699997,78.089996,77.160004,78.080002,63.605015,2546600
2015-06-16,78.000000,78.440002,77.269997,78.389999,63.857540,2511000
2015-06-17,79.150002,79.660004,77.919998,78.839996,64.224136,2799100
2015-06-18,78.910004,80.480003,78.800003,80.029999,65.193512,2508100
2015-06-19,79.580002,80.620003,79.580002,79.669998,64.900246,3030700
2015-06-22,80.019997,80.019997,78.940002,79.599998,64.843216,3153000
2015-06-23,79.800003,80.599998,79.559998,80.309998,65.421608,2453100
2015-06-24,79.699997,80.120003,78.959999,79.190002,64.509239,3106400
2015-06-25,79.190002,79.519997,78.800003,78.889999,64.264854,2347100
2015-06-26,78.800003,79.669998,78.559998,79.620003,64.859543,8753600
2015-06-29,78.750000,79.410004,78.459999,78.489998,63.939007,4888300
2015-06-30,79.239998,81.360001,79.180000,80.559998,65.625267,4628100
2015-07-01,80.639999,81.860001,80.519997,81.300003,66.228081,3779600
2015-07-02,81.470001,82.180000,81.000000,81.449997,66.350266,3388900
2015-07-06,80.389999,81.790001,79.750000,81.540001,66.423576,3978700
2015-07-07,81.980003,82.629997,79.919998,82.349998,67.083405,4170700
2015-07-08,81.849998,81.860001,78.059998,78.500000,63.947151,4513100
2015-07-09,79.599998,80.000000,79.190002,79.449997,64.721024,3839200
2015-07-10,79.860001,81.839996,79.660004,81.489998,66.382835,3236100
2015-07-13,82.050003,84.239998,82.050003,83.419998,67.955055,4148900
2015-07-14,82.889999,84.389999,82.889999,83.519997,68.036514,4884500
2015-07-15,82.790001,83.349998,81.419998,81.769997,66.610931,3737700
2015-07-16,82.419998,83.440002,82.019997,83.209999,67.783997,3017300
2015-07-17,83.209999,83.300003,82.099998,83.239998,67.808426,2502100
2015-07-20,83.129997,83.250000,82.239998,82.330002,67.067146,3095200
2015-07-21,82.300003,83.000000,81.480003,81.980003,66.782013,2215000
2015-07-22,81.839996,82.860001,81.199997,81.830002,66.659805,3725600
2015-07-23,82.110001,82.480003,81.220001,81.389999,66.301399,2110100
2015-07-24,81.339996,81.559998,78.300003,79.029999,64.378922,5377100
2015-07-27,78.000000,78.040001,75.440002,76.720001,62.497147,7687900
2015-07-28,76.800003,79.070000,76.419998,78.650002,64.069351,4784200
2015-07-29,78.550003,80.180000,78.440002,80.029999,65.193512,4380000
2015-07-30,79.489998,79.980003,78.379997,79.120003,64.452202,4040100
2015-07-31,78.470001,80.629997,77.910004,79.500000,64.761772,3615800
2015-08-03,78.669998,80.220001,78.250000,78.680000,64.093773,4085500
2015-08-04,79.110001,79.440002,78.089996,78.260002,63.751637,3601300
2015-08-05,79.570000,80.449997,78.190002,78.279999,63.767948,3102700
2015-08-06,78.449997,79.860001,77.940002,79.639999,64.875816,4605300
2015-08-07,79.269997,80.610001,78.970001,79.620003,64.859543,2969400
2015-08-10,80.070000,82.529999,80.000000,82.519997,67.221909,3876700
2015-08-11,81.070000,83.809998,80.900002,83.699997,68.183144,3584100
