Date,Open,High,Low,Close,Adj Close,Volume
2015-06-10,125.615891,126.516556,125.059601,125.986755,114.107994,175839
2015-06-11,126.092712,127.841057,126.092712,127.443710,115.427589,144318
2015-06-12,126.966888,127.496689,125.960266,126.172188,114.275948,181691
2015-06-15,125.298012,126.145699,124.847679,125.774834,113.916069,149037
2015-06-16,125.615891,126.543045,125.139076,126.145699,114.251961,181389
2015-06-17,126.516556,127.178810,125.827812,126.437088,114.515869,162853
2015-06-18,126.807945,127.549667,126.013245,127.231789,115.235641,89279
2015-06-19,126.966888,127.311256,125.933777,126.039734,114.155983,176821
2015-06-22,126.569534,126.807945,125.139076,126.145699,114.251961,104303
2015-06-23,126.357613,126.675499,125.642387,126.145699,114.251961,247791
2015-06-24,126.145699,126.251656,124.953644,124.980133,113.196297,104718
2015-06-25,125.165565,126.516556,123.867554,123.894043,112.212608,115666
2015-06-26,121.430466,123.576157,121.430466,123.496689,112.599060,131936
2015-06-29,122.331123,122.331123,119.947021,120.264900,109.652428,266100
2015-06-30,128.953644,129.350998,123.867554,124.238411,113.275299,2467642
2015-07-01,125.615891,125.907288,122.807945,124.132446,113.178696,1837066
2015-07-02,124.317879,125.748344,123.443710,124.158943,113.202843,571308
2015-07-06,123.231789,125.033112,122.781456,124.927155,113.903282,542807
2015-07-07,124.741722,125.006622,123.417221,124.476822,113.492691,591542
2015-07-08,123.523178,124.503311,123.019867,123.496689,112.599060,263155
2015-07-09,124.476822,124.503311,123.894043,124.000000,113.057930,302793
2015-07-10,124.503311,124.635765,124.000000,124.476822,113.492691,236730
2015-07-13,124.503311,125.298012,124.450333,124.662254,113.661751,444506
2015-07-14,125.112579,125.218544,124.052979,124.503311,113.516838,598262
2015-07-15,124.794701,125.033112,124.052979,124.370857,113.396065,415741
2015-07-16,125.112579,125.139076,123.894043,124.476822,113.492691,593392
2015-07-17,124.370857,124.715233,123.867554,124.503311,113.516838,224499
2015-07-20,124.503311,124.821190,123.841057,124.026489,113.082100,261041
2015-07-21,124.079468,124.238411,122.993378,123.258278,112.381660,348659
2015-07-22,123.099335,123.841057,122.834435,123.152321,112.285072,298867
2015-07-23,123.258278,123.629143,122.701988,123.152321,112.285072,303623
2015-07-24,123.152321,123.576157,122.145699,122.331123,111.536324,238957
2015-07-27,121.827812,122.463577,121.245033,121.933777,111.174049,262929
2015-07-28,122.357613,122.860924,121.642387,122.357613,111.560471,285730
2015-07-29,122.251656,124.291389,122.039734,124.158943,113.202843,473687
2015-07-30,123.841057,124.503311,123.258278,123.496689,112.599060,375537
2015-07-31,123.708611,123.788078,122.860924,123.152321,112.285072,282219
2015-08-03,123.099335,124.317879,122.622520,124.185432,113.227013,420724
2015-08-04,124.370857,125.006622,123.496689,124.317879,113.347748,383049
2015-08-05,124.529800,125.642387,124.423843,124.874168,113.854958,373574
2015-08-06,125.139076,125.456955,122.357613,122.701988,111.874481,366401
2015-08-07,122.384109,123.072845,121.536423,122.569534,111.753700,169120
2015-08-10,123.152321,124.052979,122.384109,122.966888,112.115990,182861
2015-08-11,121.748344,122.463577,120.953644,121.615891,110.884201,352434
2015-08-12,120.847679,121.854301,119.417221,121.403976,110.690979,267459
2015-08-13,121.218544,122.092712,121.218544,121.430466,110.715149,231785
2015-08-14,121.245033,122.701988,121.245033,122.516556,111.705406,192261
2015-08-17,122.278145,123.072845,121.642387,123.072845,112.212593,217704
2015-08-18,122.860924,123.496689,122.145699,122.940399,112.091843,232842
2015-08-19,122.384109,122.860924,120.821190,121.668877,110.932526,225065
2015-08-20,120.900665,121.403976,120.105957,120.503311,109.869804,330765
2015-08-21,119.337746,119.973511,118.145699,118.225166,107.792694,581010
2015-08-24,113.827812,117.218544,111.629143,114.569534,104.459648,473158
2015-08-25,116.264900,116.980133,113.430466,113.483444,103.469383,554396
2015-08-26,115.364235,115.735100,113.642387,114.225166,104.145660,895581
2015-08-27,115.311256,116.635765,113.695366,116.635765,106.343552,603962
2015-08-28,116.079468,116.715233,114.701988,114.887421,104.749481,362136
2015-08-31,114.384109,114.940399,113.536423,114.145699,104.073196,396224
2015-09-01,112.582779,113.298012,112.132446,112.529800,102.599876,611776
2015-09-02,113.589401,113.642387,112.105957,112.927155,102.962204,456775
2015-09-03,113.218544,113.748344,112.715233,112.953644,102.986336,380482
2015-09-04,112.185432,112.688744,111.841057,111.947021,102.068565,470176
2015-09-08,113.509933,115.072845,113.298012,114.966888,104.821930,329331
2015-09-09,115.708611,116.185432,114.860924,115.072845,104.918556,436239
2015-09-10,114.887421,115.629143,114.119202,114.331123,104.242279,322158
2015-09-11,113.986755,114.066223,112.264900,112.715233,102.768967,1215474
2015-09-14,112.768211,113.430466,111.894043,111.920532,102.044403,577575
2015-09-15,112.291389,113.006622,111.549667,112.688744,102.744804,617326
